project,github_caliber_avg_runtime_rate,github_caliber_avg_price_rate,smart_baseline_avg_runtime_rate,smart_baseline_avg_price_rate
activiti_dot,0.7549819496659751,0.4227118338859359,0.3248391162492384,0.5573968644726881
assertj-core_dot,0.5420093862022967,0.6892082001995756,0.5420093862022967,0.6892082001995756
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1.1174913445143737,0.127061404417996,1.0452566363944324,0.47539259019575847
commons-exec_dot,0.941848262447861,0.0905470029229695,0.9090094964994827,0.1187554325071336
db-scheduler_dot,1.0489638452259442,0.12372293608735792,0.9902249345093328,0.2335896262621277
delight-nashorn-sandbox_dot,0.7184500515269536,0.8113221554660217,0.7770954507568163,0.5201547146464439
elastic-job-lite_dot,0.6227735149668486,0.276864707366977,0.0922110320486621,0.5624186304603382
elastic-job-lite_elastic-job-lite-core,0.796926639635748,0.2513394811184438,0.1308836110521223,0.3717585514476108
esper_examples.rfidassetzone,1.948452781419873,0.3288203271266509,0.31056271774874883,0.719047270283684
fastjson_dot,0.7733639349688847,0.5424174508028393,0.7746151888107065,0.6411255719821031
fluent-logger-java_dot,1.125818070699822,0.17098693363586248,0.9546405436763443,0.5799553712483031
handlebars.java_dot,0.46148474142220897,0.5659365509214939,0.1507300390647524,0.7393842592990484
hbase_dot,0.8048121175249078,0.08825032431047312,0.8076352845540901,0.05225338689653584
http-request_dot,0.7084892935424033,0.7612021284613318,0.3414968142513482,0.5622270370222371
httpcore_dot,0.6010840154030541,0.3367310414291015,0.602201127235986,0.3981043213067249
hutool_hutool-cron,0.9918185198958721,0.8553654243802898,0.9825918762088975,1.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1.3270806611785704,0.16210229755571223,1.3270806611785704,0.16210229755571223
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,0.8761054212105718,0.0887754205506644,0.7780341315697349,0.482210032747042
logback_dot,0.29182724228762486,0.043072128724636075,0.29155706468008774,0.0507810208527848
luwak_luwak,0.8769954258287473,0.4382957818245527,0.6086797620358403,0.6083994609896095
ninja_dot,1.3694673927309151,0.730634201191814,0.0727462244580917,0.5324736386355823
noxy_noxy-discovery-zookeeper,0.8822510836032379,0.7774238193389392,0.1267347872545438,0.6845100700162591
okhttp_dot,0.6364744797558074,0.303763714532334,0.5188855137499436,0.49528644458509613
orbit_dot,0.6623689658743169,0.5374638369017471,0.6573595748968157,0.4086774145944275
retrofit_retrofit-adapters.rxjava,0.8949466821517195,0.2148687399465965,0.144613125411318,0.47634667582830287
retrofit_retrofit,0.7068304830952583,0.8399480274426807,0.028325511800948115,0.46301895827860234
rxjava2-extras_dot,0.9656998699293121,0.23301754504090857,0.20109205680450257,0.6657033118683936
spring-boot_dot,0.610275377134513,0.62174391945034,0.0340988831017596,0.47661225470834384
timely_server,0.863098705309935,0.8347642609291521,1.054246734264731,0.6016210230223299
wro4j_wro4j-extensions,0.535509637880466,0.820856265569869,0.023147538065462964,0.4860352390008266
yawp_yawp-testing.yawp-testing-appengine,0.9862252970494844,0.8357353744478739,1.0,1.0
zxing_dot,0.7279550960631646,0.548554612888282,0.7279550960631646,0.548554612888282
