project,github_baseline_tradeoff,smart_baseline_tradeoff
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1.0166841081513849,0.6051287281391545
commons-exec_dot,0.5557192011043066,0.5557192011043066
delight-nashorn-sandbox_dot,1.189457214171448,0.7919442177470057
elastic-job-lite_dot,0.4391349635364669,0.8402987714666593
elastic-job-lite_elastic-job-lite-core,0.30484438882516557,0.6609545455812279
esper_examples.rfidassetzone,1.7294933950652607,0.8920009430662992
fastjson_dot,1.0936620851453571,0.6992045010732849
fluent-logger-java_dot,0.7572976894359763,0.4497363890329355
http-request_dot,0.9389057616561147,0.8585613946408411
hutool_hutool-cron,1.8442042082980878,0.9779252930089923
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,0.6845152611998687,0.5204954601095355
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,0.3339675688875969,1.8319239062000063
luwak_luwak,0.9714424475009181,0.589988437382864
noxy_noxy-discovery-zookeeper,1.3922983770831776,0.8766738601716089
retrofit_retrofit-adapters.rxjava,0.7929873948014073,0.9402147969390476
retrofit_retrofit,1.3104583508042227,0.7995918643403329
rxjava2-extras_dot,0.7071044884549055,0.48618484522460503
spring-boot_dot,1.4479340763583979,0.9674143497863092
wro4j_wro4j-extensions,0.9361466224706047,0.9234788971360841
