project,github_baseline_tradeoff,smart_baseline_tradeoff
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,0.25113011620261705,1.0
commons-exec_dot,0.2291821471933909,1.7900656556199812
delight-nashorn-sandbox_dot,2.2004260234255146,2.728687516055509
elastic-job-lite_dot,0.38376358121767296,0.9438904249806173
elastic-job-lite_elastic-job-lite-core,0.3160161428551008,0.7682336264542303
esper_examples.rfidassetzone,0.8215960501881538,1.6311078673150128
fastjson_dot,3.209999915510966,2.0356732946731784
fluent-logger-java_dot,0.8429289406064365,1.516754306376368
http-request_dot,2.6161284127925826,3.4388847407332515
hutool_hutool-cron,0.8849523191914012,1.0230149597238205
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,0.8703569328898102,2.397903153984244
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,0.3335202221810129,3.2471531916540255
luwak_luwak,1.6500180539810478,1.064011187798408
noxy_noxy-discovery-zookeeper,0.7845817667815709,0.9099256892000497
retrofit_retrofit-adapters.rxjava,0.481717624594084,1.1866788120412606
retrofit_retrofit,1.0513513416567886,1.2035111286955098
rxjava2-extras_dot,1.0852135502954516,0.5019737358457972
spring-boot_dot,4.553135871346464,1.8150673913095143
wro4j_wro4j-extensions,5.170397737808451,6.23052667556632
