project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_conf,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_rate,cheapest_smart_baseline_conf,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_conf,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_rate,fastest_smart_baseline_conf,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
activiti_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assertj-core_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",25.74411000000002,0.0425563888358333,0.0,27CPU2Mem8GB.sh,23.03741333333333,0.2236932834666666,0.0,1.1174913445143737,0.190244374691629,22CPU05Mem2GB.sh,24.629463333333344,0.0597880222416667,0.0,1.0452566363944327,0.7117878672055395,2-0,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",12.952333333333344,0.3400344772222224,0.0,27CPU2Mem8GB.sh,23.03741333333333,0.2236932834666666,0.0,0.5622303661406437,1.5200924764148867,22CPU05Mem2GB.sh,24.629463333333344,0.0597880222416667,0.0,0.5258877612572154,5.687334427082788
commons-exec_dot,12-0,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2}",20.02699166666669,0.0394560798148612,0.0,,,,,,,26CPU2Mem4GB.sh,26.90581333333333,0.2213900007111111,0.0,0.7443369735214604,0.17821979171655056,2-0,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",16.03669499999995,0.3533254013111107,0.0,,,,,,,26CPU2Mem4GB.sh,26.90581333333333,0.2213900007111111,0.0,0.5960308577675388,1.5959411002132855
db-scheduler_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delight-nashorn-sandbox_dot,8-0,"{'23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 4, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}",11.199246666666662,0.1262433584888888,0.0,,,,,,,29CPU4Mem8GB.sh,14.70105333333333,0.2419303343555555,0.0,0.7617989277865802,0.5218169884531879,8-0,"{'25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",8.172536666666662,0.207209751561111,0.0,,,,,,,29CPU4Mem8GB.sh,14.70105333333333,0.2419303343555555,0.0,0.5559150410083992,0.8564852031187745
elastic-job-lite_dot,12-0,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",13.892137931034492,0.0599688582580459,0.0,27CPU2Mem8GB.sh,22.30688620689657,0.2165998650689657,0.0,0.6227735149668486,0.27686470736697705,19CPU010Mem1GB.sh,150.6559206896552,0.1066267278681034,0.0,0.0922110320486621,0.5624186304603382,12-0,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",9.769137931034493,0.1206805609367816,0.0,27CPU2Mem8GB.sh,22.30688620689657,0.2165998650689657,0.0,0.4379426980720505,0.5571589848329626,19CPU010Mem1GB.sh,150.6559206896552,0.1066267278681034,0.0,0.06484403590854224,1.1318040359079828
elastic-job-lite_elastic-job-lite-core,10-0,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",12.282170000000004,0.0382477740174999,0.0,27CPU2Mem8GB.sh,15.653753333333333,0.1519979448666666,0.0,0.7846150209768651,0.2516334944597511,20CPU010Mem2GB.sh,95.3128733333335,0.1027631629322224,0.0,0.12886160673224187,0.3721934293004029,6-0,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",9.772586666666667,0.0861280675522221,0.0,27CPU2Mem8GB.sh,15.653753333333333,0.1519979448666666,0.0,0.6242967075414928,0.5666396846863562,20CPU010Mem2GB.sh,95.3128733333335,0.1027631629322224,0.0,0.10253165522027052,0.8381219991158505
esper_examples.rfidassetzone,2-0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",13.725810000000005,0.0224918917274999,0.0,,,,,,,19CPU010Mem1GB.sh,44.19658000000002,0.031280129495,0.0,0.31056271774874883,0.7190472702836839,2-0,"{'21CPU025Mem2GB.sh': 1, '01noThrottling.sh': 1}",8.066659999999994,0.0403100852833333,0.0,,,,,,,19CPU010Mem1GB.sh,44.19658000000002,0.031280129495,0.0,0.1825177423230483,1.288680255936175
fastjson_dot,12-0,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",22.459206666666685,0.1529656474771029,0.0,27CPU2Mem8GB.sh,29.04296999117144,0.2820072386142747,0.0,0.7733095710767148,0.5424174508028393,26CPU2Mem4GB.sh,28.99605620958762,0.2385892158445568,0.0,0.7745607369612041,0.641125571982103,10-0,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",13.824676042363448,0.4112432344125582,0.0,27CPU2Mem8GB.sh,29.04296999117144,0.2820072386142747,0.0,0.4760076550905748,1.4582719097329648,26CPU2Mem4GB.sh,28.99605620958762,0.2385892158445568,0.0,0.4767778053138234,1.723645525875265
