project,github_baseline_avg_runtime_rate,github_baseline_avg_price_rate,smart_baseline_avg_runtime_rate,smart_baseline_avg_price_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,0.9943866302763703,1.0224233484201386,1.0,0.6051287281391545
commons-exec_dot,1.0,0.5557192011043066,1.0,0.5557192011043066
delight-nashorn-sandbox_dot,0.9739381508959232,1.2212861905833232,1.0,0.7919442177470057
elastic-job-lite_dot,0.9747277141197833,0.450520650203347,0.9750762786679598,0.8617774730553199
elastic-job-lite_elastic-job-lite-core,0.9753336830874807,0.3125539434464739,0.9753783539787294,0.677639136531055
esper_examples.rfidassetzone,0.9933858939660192,1.7410086106219882,1.0,0.8920009430662992
fastjson_dot,0.9822719769029021,1.1134004744731365,0.9930007865603835,0.7041328773718619
fluent-logger-java_dot,0.9999150879659965,0.757361998583753,1.0,0.4497363890329355
http-request_dot,0.8475851633746362,1.1077420915650389,1.0,0.8585613946408411
hutool_hutool-cron,0.9687075709575232,1.9037780477705735,1.0,0.9779252930089923
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,0.9999800272731036,0.6845289331093024,1.0,0.5204954601095355
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,0.9204403014799624,0.36283457857138085,1.0,1.8319239062000063
luwak_luwak,0.9950771674337152,0.9762483546941886,1.0,0.589988437382864
noxy_noxy-discovery-zookeeper,0.8831598890063489,1.5764963903078353,1.0,0.8766738601716089
retrofit_retrofit-adapters.rxjava,0.9995371487703043,0.7933545999535806,1.0,0.9402147969390476
retrofit_retrofit,0.9083515412546964,1.4426775221783632,1.0,0.7995918643403329
rxjava2-extras_dot,0.8979906032537246,0.7874297190781574,1.0,0.48618484522460503
spring-boot_dot,0.9417189625183354,1.53754371950454,0.9988318616894748,0.9685457451767464
wro4j_wro4j-extensions,0.6683689686699517,1.4006434564631691,0.9963951947608329,0.9268199023759331
