project,num_machines,conf,time_seq,time_parallel,price,min_failure_rate,max_failure_rate
handlebars.java_dot,1,19CPU010Mem1GB.sh,158.02068965517216,158.02068965517216,0.0001118391431034481,0.0,0.03448275862068961
handlebars.java_dot,1,20CPU010Mem2GB.sh,156.16206896551736,156.16206896551736,0.00016836873735632195,0.0,0.017241379310344862
handlebars.java_dot,1,21CPU025Mem2GB.sh,58.12294827586212,58.12294827586212,9.207643722701159e-05,0.0,0.017241379310344862
handlebars.java_dot,1,22CPU05Mem2GB.sh,28.65062068965521,28.65062068965521,6.954938172413802e-05,0.0,0.0034482758620689724
handlebars.java_dot,1,23CPU05Mem4GB.sh,28.261603448275874,28.261603448275874,8.954218025862071e-05,0.0,0.010344827586206917
handlebars.java_dot,1,24CPU1Mem4GB.sh,14.260996551724109,14.260996551724109,6.923713825862055e-05,0.0,0.006896551724137945
handlebars.java_dot,1,25CPU1Mem8GB.sh,14.201827586206901,14.201827586206901,8.999224747126439e-05,0.0,0.024137931034482807
handlebars.java_dot,1,26CPU2Mem4GB.sh,7.670279310344831,7.670279310344831,6.311361492528737e-05,0.0,0.017241379310344862
handlebars.java_dot,1,27CPU2Mem8GB.sh,7.6498724137930925,7.6498724137930925,7.428026113793093e-05,0.0,0.010344827586206917
handlebars.java_dot,1,28CPU2Mem16GB.sh,7.678962068965531,7.678962068965531,9.731804595402317e-05,0.0,0.017241379310344862
handlebars.java_dot,1,29CPU4Mem8GB.sh,6.9418517241379325,6.9418517241379325,0.00011423973987356324,0.0,0.024137931034482807
handlebars.java_dot,1,01noThrottling.sh,7.063389655172419,7.063389655172419,0.00013717102710344837,0.0,0.017241379310344862
handlebars.java_dot,2,19CPU010Mem1GB.sh,269.9288615763547,137.8958150246306,0.000191042151780665,0.0,0.03448275862068961
handlebars.java_dot,2,20CPU010Mem2GB.sh,266.9667315486995,136.29361775559596,0.00028783463106475617,0.0,0.017241379310344862
handlebars.java_dot,2,21CPU025Mem2GB.sh,98.54753260738059,50.29391551724141,0.00015611571623885871,0.0,0.017241379310344862
handlebars.java_dot,2,22CPU05Mem2GB.sh,48.21128841427044,24.581239655172453,0.00011703290262564151,0.0,0.0034482758620689724
handlebars.java_dot,2,23CPU05Mem4GB.sh,47.51062705755137,24.238009816172042,0.00015052950339400857,0.0,0.010344827586206917
handlebars.java_dot,2,24CPU1Mem4GB.sh,23.632197222222185,12.054918965517226,0.00011473431751388872,0.0,0.006896551724137945
handlebars.java_dot,2,25CPU1Mem8GB.sh,23.490703923479963,11.971463793103458,0.00014885276052845135,0.0,0.024137931034482807
handlebars.java_dot,2,26CPU2Mem4GB.sh,12.354847156684823,6.316097156684823,0.00010165980068758829,0.0,0.017241379310344862
handlebars.java_dot,2,27CPU2Mem8GB.sh,12.33078650126156,6.301901724137932,0.00011973193692724974,0.0,0.010344827586206917
handlebars.java_dot,2,28CPU2Mem16GB.sh,12.3727524803388,6.323540411373277,0.00015680401643416037,0.0,0.017241379310344862
handlebars.java_dot,2,29CPU4Mem8GB.sh,11.163653673693196,5.6783120689655195,0.00018371652729007768,0.0,0.024137931034482807
handlebars.java_dot,2,01noThrottling.sh,11.377409437386582,5.786190471869338,0.00022094929127404743,0.0,0.017241379310344862
handlebars.java_dot,4,19CPU010Mem1GB.sh,493.74520541871925,126.82422364532015,0.00034944816913509854,0.0,0.03448275862068961
handlebars.java_dot,4,20CPU010Mem2GB.sh,488.5760567150636,125.52761603145801,0.0005267664184816245,0.0,0.017241379310344862
handlebars.java_dot,4,21CPU025Mem2GB.sh,179.39670127041754,46.091270538415046,0.0002841942742625531,0.0,0.017241379310344862
handlebars.java_dot,4,22CPU05Mem2GB.sh,87.33262386350091,22.436960344827618,0.0002119999444286485,0.0,0.0034482758620689724
handlebars.java_dot,4,23CPU05Mem4GB.sh,86.00867427610234,22.11514085065479,0.0002725041496647843,0.0,0.010344827586206917
handlebars.java_dot,4,24CPU1Mem4GB.sh,42.37459856321834,10.97730411877394,0.00020572867602442504,0.0,0.006896551724137945
handlebars.java_dot,4,25CPU1Mem8GB.sh,42.06845659802609,10.909678061410983,0.0002665737866428253,0.0,0.024137931034482807
handlebars.java_dot,4,26CPU2Mem4GB.sh,21.723982849364813,5.696225862068967,0.0001787521722121901,0.0,0.017241379310344862
handlebars.java_dot,4,27CPU2Mem8GB.sh,21.692614676198495,5.692801724137933,0.0002106352885058874,0.0,0.010344827586206917
handlebars.java_dot,4,28CPU2Mem16GB.sh,21.760333303085336,5.705736206896556,0.0002757759573944348,0.0,0.017241379310344862
handlebars.java_dot,4,29CPU4Mem8GB.sh,19.60725757280372,5.234200000000003,0.0003226701021231066,0.0,0.024137931034482807
handlebars.java_dot,4,01noThrottling.sh,20.005449001814906,5.32667931034483,0.0003885058196152455,0.0,0.017241379310344862
handlebars.java_dot,6,19CPU010Mem1GB.sh,717.5615492610837,124.1816564039409,0.0005078541864895321,0.0,0.03448275862068961
handlebars.java_dot,6,20CPU010Mem2GB.sh,710.1853818814278,122.90845568663042,0.0007656982058984927,0.0,0.017241379310344862
handlebars.java_dot,6,21CPU025Mem2GB.sh,260.24586993345446,45.06943605565641,0.00041227283228624745,0.0,0.017241379310344862
handlebars.java_dot,6,22CPU05Mem2GB.sh,126.45395931273137,21.915657379787653,0.00030696698623165547,0.0,0.0034482758620689724
handlebars.java_dot,6,23CPU05Mem4GB.sh,124.50672149465335,21.583975862068954,0.00039447879593556005,0.0,0.010344827586206917
