table_category,non_nan_project_num,cheapest_non_nan_github_baseline_num,cheapest_avg_ga_vs_github_baseline_runtime_rate,cheapest_avg_ga_vs_github_baseline_price_rate,cheapest_ga_vs_github_baseline_better_num,cheapest_non_nan_smart_baseline_num,cheapest_avg_ga_vs_smart_baseline_runtime_rate,cheapest_avg_ga_vs_smart_baseline_price_rate,cheapest_ga_vs_smart_baseline_better_num,fastest_non_nan_github_baseline_num,fastest_avg_ga_vs_github_baseline_runtime_rate,fastest_avg_ga_vs_github_baseline_price_rate,fastest_ga_vs_github_baseline_better_num,fastest_non_nan_smart_baseline_num,fastest_avg_ga_vs_smart_baseline_runtime_rate,fastest_avg_ga_vs_smart_baseline_price_rate,fastest_ga_vs_smart_baseline_better_num
failrate_0,19,12.0,1.2093921112400736,0.41926070885825784,12.0,8.0,0.42105263157894735,0.42105263157894735,0.0,12.0,0.5817124212534851,0.9464492083712555,12.0,12.0,0.6310209825995127,0.5717452846212724,2.0
failrate_0.2,29,29.0,1.9836264616528427,0.570852182196538,29.0,26.0,0.9555863837849512,0.8918822862342025,4.0,29.0,0.9240025572465559,1.4382311633727694,29.0,28.0,0.9650899374074808,0.8536761593020273,2.0
failrate_0.4,30,29.0,1.9875022336078445,0.5508928420413888,29.0,27.0,0.9570668376587862,0.8954862100263958,4.0,29.0,0.8929261488549775,1.441945486920401,29.0,29.0,0.9663045464187775,0.8857888216620442,3.0
failrate_0.6,31,31.0,2.306894502965905,0.5494939463858555,31.0,29.0,1.227603222240026,0.9186259111002232,5.0,31.0,0.9139478561808929,1.4722256758232461,31.0,30.0,0.9673872984135097,0.901335499548402,3.0
failrate_0.8,31,31.0,2.2988326731450743,0.5491614344466281,31.0,30.0,1.259861286756155,0.9508839756163523,5.0,31.0,0.9137308039940752,1.4768499724716193,31.0,31.0,0.9961015244276531,1.0116926766033143,3.0
failrate_1,32,32.0,2.334693130155198,0.558119335478164,32.0,32.0,1.282990621545025,0.9836688513783413,5.0,32.0,0.9115057689290458,1.4823236512587623,32.0,32.0,0.9964378427487879,1.018671032116186,3.0
