test,conf,round_num,avg_runtime,failrate,avg_price
"('timely.ConfigurationTest', 'testMinimalConfiguration')",01noThrottling.sh,300,0.3695699999999999,0.0,0.007177049399999999
"('timely.ConfigurationTest', 'testMinimalConfiguration')",19CPU010Mem1GB.sh,300,14.233023333333337,0.0,0.010073422264166668
"('timely.ConfigurationTest', 'testMinimalConfiguration')",20CPU010Mem2GB.sh,300,14.02921666666667,0.0,0.015125833769444449
"('timely.ConfigurationTest', 'testMinimalConfiguration')",21CPU025Mem2GB.sh,300,5.157699999999998,0.0,0.008170656416666665
"('timely.ConfigurationTest', 'testMinimalConfiguration')",22CPU05Mem2GB.sh,300,2.3111666666666677,0.0,0.005610357083333337
"('timely.ConfigurationTest', 'testMinimalConfiguration')",23CPU05Mem4GB.sh,300,2.044086666666666,0.0,0.00647634792222222
"('timely.ConfigurationTest', 'testMinimalConfiguration')",24CPU1Mem4GB.sh,300,0.9197700000000003,0.0,0.004465483350000002
"('timely.ConfigurationTest', 'testMinimalConfiguration')",25CPU1Mem8GB.sh,300,0.8995166666666671,0.0,0.005699937277777781
"('timely.ConfigurationTest', 'testMinimalConfiguration')",26CPU2Mem4GB.sh,300,0.36883666666666653,0.0,0.0030349110388888877
"('timely.ConfigurationTest', 'testMinimalConfiguration')",27CPU2Mem8GB.sh,300,0.41568000000000055,0.0,0.004036252800000006
"('timely.ConfigurationTest', 'testMinimalConfiguration')",28CPU2Mem16GB.sh,300,0.43275666666666696,0.0,0.0054844694888888925
"('timely.ConfigurationTest', 'testMinimalConfiguration')",29CPU4Mem8GB.sh,300,0.35691666666666594,0.0,0.005873658611111099
"('timely.ConfigurationTest', 'testMissingSSLProperty')",01noThrottling.sh,300,0.8639200000000004,0.0,0.01677732640000001
"('timely.ConfigurationTest', 'testMissingSSLProperty')",19CPU010Mem1GB.sh,300,28.750876666666674,0.0,0.02034843296083334
"('timely.ConfigurationTest', 'testMissingSSLProperty')",20CPU010Mem2GB.sh,300,27.815539999999995,0.0,0.02998978804333333
