test,conf,round_num,avg_runtime,failrate,avg_price
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_NoInvokers')",26CPU2Mem4GB.sh,290,0.0011310344827586214,0.0,9.30652873563219e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_NoInvokers')",27CPU2Mem8GB.sh,290,0.00096896551724138,0.0,9.408655172413799e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_NoInvokers')",28CPU2Mem16GB.sh,290,0.0010965517241379318,0.0,1.3896965517241388e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_NoInvokers')",29CPU4Mem8GB.sh,290,0.001186206896551725,0.0,1.9521011494252885e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",01noThrottling.sh,290,0.0011275862068965525,0.0,2.189772413793105e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",19CPU010Mem1GB.sh,290,0.06985517241379324,0.0,4.943999827586216e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",20CPU010Mem2GB.sh,290,0.06935862068965523,0.0,7.478015287356328e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",21CPU025Mem2GB.sh,290,0.0237344827586207,0.0,3.7599376436781625e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",22CPU05Mem2GB.sh,290,0.008886206896551677,0.0,2.1571267241379197e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",23CPU05Mem4GB.sh,290,0.009303448275862014,0.0,2.947642528735615e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",24CPU1Mem4GB.sh,290,0.0025000000000000014,0.0,1.2137500000000007e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",25CPU1Mem8GB.sh,290,0.004372413793103445,0.0,2.7706528735632166e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",26CPU2Mem4GB.sh,290,0.0008482758620689661,0.0,6.9798965517241435e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",27CPU2Mem8GB.sh,290,0.0009000000000000006,0.0,8.739000000000007e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",28CPU2Mem16GB.sh,290,0.0008448275862068972,0.0,1.070678160919541e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_ChannelReadOnly')",29CPU4Mem8GB.sh,290,0.0009344827586206903,0.0,1.537847126436783e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",01noThrottling.sh,290,0.0030931034482758646,0.0,6.00680689655173e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",19CPU010Mem1GB.sh,290,0.12869310344827592,0.0,9.108254396551728e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",20CPU010Mem2GB.sh,290,0.1408000000000001,0.0,0.00015180586666666676
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",21CPU025Mem2GB.sh,290,0.055241379310344826,0.0,8.751155172413793e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",22CPU05Mem2GB.sh,290,0.02143448275862067,0.0,5.203220689655168e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",23CPU05Mem4GB.sh,290,0.022786206896551694,0.0,7.219429885057462e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",24CPU1Mem4GB.sh,290,0.007641379310344806,0.0,3.709889655172403e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",25CPU1Mem8GB.sh,290,0.009527586206896529,0.0,6.0373137931034344e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",26CPU2Mem4GB.sh,290,0.0034068965517241407,0.0,2.803308045977014e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",27CPU2Mem8GB.sh,290,0.0034068965517241407,0.0,3.308096551724141e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",28CPU2Mem16GB.sh,290,0.003982758620689653,0.0,5.047482758620687e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest', 'test_Normal_available')",29CPU4Mem8GB.sh,290,0.0032275862068965543,0.0,5.311531034482763e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",01noThrottling.sh,290,0.0013758620689655182,0.0,2.6719241379310365e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",19CPU010Mem1GB.sh,290,0.044379310344827616,0.0,3.1409456896551745e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",20CPU010Mem2GB.sh,290,0.043872413793103464,0.0,4.730177413793105e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",21CPU025Mem2GB.sh,290,0.023203448275862064,0.0,3.6758129310344824e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",22CPU05Mem2GB.sh,290,0.007503448275862033,0.0,1.8214620689655088e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",23CPU05Mem4GB.sh,290,0.005703448275862049,0.0,1.807042528735626e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",24CPU1Mem4GB.sh,290,0.0028965517241379326,0.0,1.4062758620689664e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",25CPU1Mem8GB.sh,290,0.00297241379310345,0.0,1.883519540229886e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",26CPU2Mem4GB.sh,290,0.0013482758620689665,0.0,1.1094063218390813e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",27CPU2Mem8GB.sh,290,0.0013310344827586217,0.0,1.2924344827586217e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",28CPU2Mem16GB.sh,290,0.0013448275862068975,0.0,1.704344827586208e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky1')",29CPU4Mem8GB.sh,290,0.001186206896551725,0.0,1.9521011494252885e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",01noThrottling.sh,290,0.002289655172413795,0.0,4.44651034482759e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",19CPU010Mem1GB.sh,290,0.05461034482758626,0.0,3.865047155172418e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",20CPU010Mem2GB.sh,290,0.06115172413793115,0.0,6.593175057471278e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",21CPU025Mem2GB.sh,290,0.02371724137931032,0.0,3.757206321839077e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",22CPU05Mem2GB.sh,290,0.009144827586206876,0.0,2.2199068965517195e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",23CPU05Mem4GB.sh,290,0.011189655172413764,0.0,3.545255747126427e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",24CPU1Mem4GB.sh,290,0.004027586206896543,0.0,1.9553931034482715e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",25CPU1Mem8GB.sh,290,0.004427586206896541,0.0,2.8056137931034416e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",26CPU2Mem4GB.sh,290,0.0026482758620689673,0.0,2.1790896551724154e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",27CPU2Mem8GB.sh,290,0.0026758620689655193,0.0,2.5982620689655194e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",28CPU2Mem16GB.sh,290,0.002689655172413795,0.0,3.408689655172416e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky2')",29CPU4Mem8GB.sh,290,0.002479310344827588,0.0,4.080118390804601e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",01noThrottling.sh,290,0.0011103448275862078,0.0,2.156289655172416e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",19CPU010Mem1GB.sh,290,0.044317241379310354,0.0,3.13655275862069e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",20CPU010Mem2GB.sh,290,0.04690000000000002,0.0,5.056601666666669e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",21CPU025Mem2GB.sh,290,0.01896896551724136,0.0,3.0050002873563192e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",22CPU05Mem2GB.sh,290,0.00750344827586204,0.0,1.8214620689655105e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",23CPU05Mem4GB.sh,290,0.005889655172413765,0.0,1.8660390804597614e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",24CPU1Mem4GB.sh,290,0.0020241379310344835,0.0,9.827189655172419e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",25CPU1Mem8GB.sh,290,0.002865517241379312,0.0,1.815782758620691e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",26CPU2Mem4GB.sh,290,0.0010206896551724146,0.0,8.398574712643684e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",27CPU2Mem8GB.sh,290,0.0010034482758620696,0.0,9.743482758620697e-06
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",28CPU2Mem16GB.sh,290,0.00106896551724138,0.0,1.354735632183909e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky3')",29CPU4Mem8GB.sh,290,0.0011482758620689664,0.0,1.8896793103448292e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",01noThrottling.sh,290,0.009889655172413771,0.0,0.00019205710344827545
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",19CPU010Mem1GB.sh,290,0.35006896551724154,0.0,0.0002477613103448277
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",20CPU010Mem2GB.sh,290,0.35350689655172396,0.0,0.00038113935229885037
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",21CPU025Mem2GB.sh,290,0.13037931034482778,0.0,0.00020654255747126467
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",22CPU05Mem2GB.sh,290,0.05573103448275857,0.0,0.00013528708620689643
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",23CPU05Mem4GB.sh,290,0.05680689655172413,0.0,0.00017998318390804595
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",24CPU1Mem4GB.sh,290,0.02176551724137929,0.0,0.00010567158620689646
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",25CPU1Mem8GB.sh,290,0.020244827586206875,0.0,0.0001282847241379309
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",26CPU2Mem4GB.sh,290,0.011686206896551697,0.0,9.615800574712621e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",27CPU2Mem8GB.sh,290,0.011851724137931003,0.0,0.00011508024137931004
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",28CPU2Mem16GB.sh,290,0.011465517241379284,0.0,0.00014530632183908012
"('org.apache.dubbo.rpc.protocol.dubbo.DubboLazyConnectTest', 'testSticky4')",29CPU4Mem8GB.sh,290,0.010258620689655149,0.0,0.0001688227011494249
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",01noThrottling.sh,290,0.006520689655172391,0.0,0.00012663179310344784
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",19CPU010Mem1GB.sh,290,0.23583103448275858,0.0,0.0001669094146551724
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",20CPU010Mem2GB.sh,290,0.22213793103448262,0.0,0.00023950171264367805
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",21CPU025Mem2GB.sh,290,0.07723793103448287,0.0,0.0001223577557471266
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",22CPU05Mem2GB.sh,290,0.02819655172413786,0.0,6.844712931034466e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",23CPU05Mem4GB.sh,290,0.024772413793103357,0.0,7.84872643678158e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",24CPU1Mem4GB.sh,290,0.015799999999999963,0.0,7.670899999999984e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",25CPU1Mem8GB.sh,290,0.013255172413793079,0.0,8.399360919540215e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",26CPU2Mem4GB.sh,290,0.007317241379310319,0.0,6.0208701149425077e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",27CPU2Mem8GB.sh,290,0.007296551724137909,0.0,7.08495172413791e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",28CPU2Mem16GB.sh,290,0.007417241379310316,0.0,9.400117241379274e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDemoProtocol')",29CPU4Mem8GB.sh,290,0.00644482758620688,0.0,0.00010606037931034455
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",01noThrottling.sh,290,0.032658620689655166,0.0,0.0006342304137931034
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",19CPU010Mem1GB.sh,290,1.9707482758620702,0.0,0.0013947970922413803
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",20CPU010Mem2GB.sh,290,1.996834482758619,0.0,0.002152920378160918
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",21CPU025Mem2GB.sh,290,0.5219724137931036,0.0,0.0008268912988505749
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",22CPU05Mem2GB.sh,290,0.14239310344827602,0.0,0.0003456592586206901
