project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_rate,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_rate,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
activiti_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",807.771545598023,0.3100788368432042,0.1629629629629629,{'27CPU2Mem8GB.sh': 6},74.14974973613327,0.7201118052560342,0.1899999999999999,10.893786539705538,0.4305981856983393,{'23CPU05Mem4GB.sh': 6},205.13673955061083,0.5290673558684365,0.1827586206896552,3.937722454629984,0.5860857476912859,12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",49.23515495270452,1.364254558228279,0.2766666666666666,{'27CPU2Mem8GB.sh': 12},54.00570310941885,0.7217583580920695,0.1899999999999999,0.9116658448636635,1.8901818634073249,{'23CPU05Mem4GB.sh': 12},159.17838266730058,0.5311162805268725,0.1827586206896552,0.30930804879209717,2.5686551292965922
assertj-core_dot,4-0-cheap,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",22.97479498866491,0.0056057483410755,0.0827586206896552,{'27CPU2Mem8GB.sh': 4},6.351943283582065,0.0102602521129964,0.0758620689655172,3.616971053259891,0.5463558087402981,{'27CPU2Mem8GB.sh': 4},6.351943283582065,0.0102602521129964,0.0758620689655172,3.616971053259891,0.5463558087402981,12-0-fast,{'29CPU4Mem8GB.sh': 12},5.164317857142805,0.0068567230630951,0.125,{'27CPU2Mem8GB.sh': 12},6.062470869788978,0.0106716182189892,0.0758620689655172,0.8518503376037772,0.6425195244423351,{'27CPU2Mem8GB.sh': 12},6.062470869788978,0.0106716182189892,0.0758620689655172,0.8518503376037772,0.6425195244423351
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1-0-cheap,{'19CPU010Mem1GB.sh': 1},140.3766666666667,0.0077304469832931,0.01,{'27CPU2Mem8GB.sh': 1},27.276476666666632,0.0671491463449666,0.0,5.146436923732704,0.11512353326994398,{'01noThrottling.sh': 1},26.61043666666667,0.1339046594530666,0.0,5.27524852091241,0.05773097825623171,2-0-fast,{'29CPU4Mem8GB.sh': 2},16.578153333333333,0.1135047508422667,0.0,{'27CPU2Mem8GB.sh': 2},17.264513333333298,0.0671903076499333,0.0,0.9602444629195089,1.6893024427516425,{'01noThrottling.sh': 2},16.59660666666667,0.1339753208061333,0.0,0.9988881261269872,0.8472064120414521
commons-exec_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1}",81.05755120274912,0.0155858078378852,0.01,{'27CPU2Mem8GB.sh': 4},40.12984169727322,0.1578407161740554,0.0016666666666667,2.0198821568801977,0.09874389964562941,{'01noThrottling.sh': 4},40.01245166666661,0.3158385568469335,0.0,2.0258081628693647,0.04934738808801812,12-0-fast,{'01noThrottling.sh': 12},38.00943333333329,0.3201876819008001,0.0,{'27CPU2Mem8GB.sh': 12},38.12656503060657,0.1600245447621663,0.0016666666666667,0.9969278192992406,2.000866069493736,{'01noThrottling.sh': 12},38.00943333333329,0.3201876819008001,0.0,1.0,1.0
db-scheduler_dot,1-0-cheap,{'19CPU010Mem1GB.sh': 1},76.96666666666668,0.0057865991023882,0.2666666666666667,{'27CPU2Mem8GB.sh': 1},13.256210000000005,0.0322598140425191,0.0133333333333333,5.806083840454146,0.17937484372232723,{'28CPU2Mem16GB.sh': 1},13.176933333333334,0.0425639603697951,0.0033333333333332,5.841015107207546,0.13595067404711184,6-0-fast,{'29CPU4Mem8GB.sh': 6},12.001565682326616,0.0549460149864796,0.0066666666666667,{'27CPU2Mem8GB.sh': 6},12.251764562744569,0.0323594359051146,0.0133333333333333,0.9795785432264376,1.6979905072385721,{'28CPU2Mem16GB.sh': 6},12.17403560758083,0.0426877791854376,0.0033333333333332,0.9858329701987387,1.2871603075857305
delight-nashorn-sandbox_dot,2-0-cheap,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.054133333333326,0.0378037751224774,0.0066666666666667,{'27CPU2Mem8GB.sh': 2},11.897280000000002,0.0465428839759734,0.0033333333333332,1.4334480934577754,0.8122353385319366,{'29CPU4Mem8GB.sh': 2},10.92355666666666,0.0726406525187333,0.0,1.561225327404048,0.5204217447348533,12-0-fast,{'29CPU4Mem8GB.sh': 12},6.683126666666658,0.0729484135790666,0.0,{'27CPU2Mem8GB.sh': 12},7.173210657748051,0.0467548494558408,0.0033333333333332,0.9316785726135012,1.560232027866226,{'29CPU4Mem8GB.sh': 12},6.683126666666658,0.0729484135790666,0.0,1.0,1.0
elastic-job-lite_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",247.9500103448277,0.0181735257739709,0.0,{'27CPU2Mem8GB.sh': 4},35.85580000000001,0.063769802019793,0.0,6.915199503143916,0.28498639165180667,{'19CPU010Mem1GB.sh': 4},283.5779379310344,0.0315843689185534,0.0,0.8743628370875898,0.5753961974302847,12-0-fast,{'01noThrottling.sh': 12},27.361100000000043,0.1291704505048276,0.0,{'27CPU2Mem8GB.sh': 12},34.918862068965524,0.0656814843193792,0.0,0.7835621889957716,1.966618931398237,{'19CPU010Mem1GB.sh': 12},267.19375862068966,0.0329096045921603,0.0,0.1024017182932857,3.92500767194263
elastic-job-lite_elastic-job-lite-core,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",93.94679793756968,0.0117562441519408,0.0,{'27CPU2Mem8GB.sh': 4},18.701600000000003,0.0458885780730666,0.0,5.0234631228114,0.2561910751128917,{'01noThrottling.sh': 4},18.35495333333334,0.0905476694727999,0.0,5.118334883857126,0.12983486179588885,12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",17.42361000000001,0.0823445729485333,0.0,{'27CPU2Mem8GB.sh': 12},17.752103333333334,0.0464669672991999,0.0,0.9814955260700569,1.7721099037584742,{'01noThrottling.sh': 12},17.432470000000013,0.0916549528183999,0.0,0.9994917530332763,0.8984192388564786
esper_examples.rfidassetzone,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.175896666666645,0.0067910030445495,0.0,{'27CPU2Mem8GB.sh': 2},7.1894066666666605,0.0195399970282139,0.0633333333333333,7.674610607644028,0.3475437091798907,{'19CPU010Mem1GB.sh': 2},71.92085666666665,0.0094427114461766,0.0,0.7671751870586264,0.7191793462352606,2-0-fast,{'01noThrottling.sh': 2},6.881783333333331,0.0372459968464981,0.0899999999999999,{'27CPU2Mem8GB.sh': 2},7.1894066666666605,0.0195399970282139,0.0633333333333333,0.9572115825969881,1.9061413772334979,{'19CPU010Mem1GB.sh': 2},71.92085666666665,0.0094427114461766,0.0,0.0956855028191405,3.9444175604433176
fastjson_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",208.14717482526547,0.046446712638084,0.0,{'27CPU2Mem8GB.sh': 6},13.383578413204235,0.0848227756251145,0.0,15.55243062796326,0.5475736003188743,{'01noThrottling.sh': 6},12.53055666666666,0.1624771449143997,0.0,16.611167433524415,0.28586613004896305,12-0-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}",10.357826666666664,0.1512917354957417,0.0,{'27CPU2Mem8GB.sh': 12},11.407262684189558,0.0852270734202289,0.0,0.9080028183292904,1.775160514426771,{'01noThrottling.sh': 12},10.779126666666656,0.1631743873887997,0.0,0.9609152009222771,0.9271782043541865
fluent-logger-java_dot,1-0-cheap,{'19CPU010Mem1GB.sh': 1},113.58333333333331,0.0169329823789951,0.41,{'27CPU2Mem8GB.sh': 1},35.58276333333333,0.1036525895899999,0.0,3.192088603948597,0.16336284936028983,{'01noThrottling.sh': 1},35.46621666666667,0.2066261783,0.0,3.202578228201203,0.08194984061704973,6-0-fast,{'29CPU4Mem8GB.sh': 6},8.125366666666668,0.17455232515,0.0,{'27CPU2Mem8GB.sh': 6},8.126056666666663,0.1036525895899999,0.0,0.9999150879659964,1.6840131620487782,{'01noThrottling.sh': 6},8.133510000000005,0.2066261783,0.0,0.9989987922393485,0.8447735257270642
