project,cheapest_category,cheapest_confs,cheapest_price,cheapest_runtime,cheapest_baseline_confs,cheapest_baseline_price,cheapest_baseline_runtime,cheapest_price_saving,cheapest_runtime_rate,fastest_category,fastest_confs,fastest_price,fastest_runtime,fastest_baseline_confs,fastest_baseline_price,fastest_baseline_runtime,fastest_price_rate,fastest_runtime_saving
handlebars.java_dot,4-0-cheap,"{'27CPU2Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0061387351767083,20.78338965517245,{'27CPU2Mem8GB.sh': 4},0.0093713409931572,5.692801724137933,0.3449459174315923,3.6508191681872955,8-0-fast,{'29CPU4Mem8GB.sh': 8},0.0148287142126654,5.226006896551727,{'27CPU2Mem8GB.sh': 8},0.0095531476963145,5.684718965517243,1.5522333249789655,0.08069212774598067
hbase_dot,1-0-cheap,{'19CPU010Mem1GB.sh': 1},0.5482781676698484,5553.9807692307695,{'27CPU2Mem8GB.sh': 1},7.734954129660101,4898.651851851853,0.929116817180926,1.1337774018643885,12-0-fast,{'20CPU010Mem2GB.sh': 12},0.8702332081109052,712.6598224523746,{'27CPU2Mem8GB.sh': 12},7.8304753574411805,1299.8717181386628,0.11113414810557266,0.45174603577585326
http-request_dot,2-0-cheap,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0009402715623285,3.908308695652172,{'27CPU2Mem8GB.sh': 2},0.0011903508419999,2.1878600000000006,0.21008871573631493,1.7863614196759259,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.0020985067381333,1.9007366666666676,{'27CPU2Mem8GB.sh': 12},0.0013831040519999,2.0696866666666667,1.517244299226051,0.08163071382785758
httpcore_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0104106813686443,59.63476020341498,{'27CPU2Mem8GB.sh': 4},0.0305909304398092,5.53488486395454,0.6596807871166788,10.774345206669286,12-0-fast,{'01noThrottling.sh': 12},0.0602858927671769,3.367617706022293,{'27CPU2Mem8GB.sh': 12},0.0307625891794277,3.681001754739947,1.959714522582928,0.08513553363948168
hutool_hutool-cron,1-0-cheap,{'26CPU2Mem4GB.sh': 1},0.0002824980473444,1.8699233333333325,{'27CPU2Mem8GB.sh': 1},0.0003304463828666,1.8711133333333336,0.14510171092281732,0.9993640150071075,4-0-fast,{'01noThrottling.sh': 4},0.0007282560412004,1.6124644370122616,{'27CPU2Mem8GB.sh': 4},0.0003818186914666,1.866666666666667,1.9073347048650315,0.13617976588628855
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0-cheap,{'19CPU010Mem1GB.sh': 1},0.0163633997759623,1209.2620689655173,{'27CPU2Mem8GB.sh': 1},0.1242905752594137,1091.7620689655168,0.8683456107447459,1.1076241823562674,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.3993102200479916,1059.8942148215365,{'27CPU2Mem8GB.sh': 12},0.2365743973429654,1061.261872413793,1.6878843380042756,0.0012887088736599495
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0-cheap,{'19CPU010Mem1GB.sh': 1},0.0399697244144323,2024.5896551724136,{'27CPU2Mem8GB.sh': 1},0.3957818861532875,1852.3000000000009,0.8990107283511406,1.0930139044282312,12-0-fast,{'01noThrottling.sh': 12},1.156999756494581,1747.6660253907648,{'27CPU2Mem8GB.sh': 12},0.5792462661894505,1747.77070524997,1.9974228994273193,5.9893359518281564e-05
logback_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0276569770037268,204.3128121211889,{'27CPU2Mem8GB.sh': 6},0.6409169369839394,156.3873066666666,0.9568477981969451,1.3064539346321349,6-0-fast,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 4}",0.3076963399443496,146.16905581276475,{'27CPU2Mem8GB.sh': 6},0.6409169369839394,156.3873066666666,0.480087702772099,0.06533938765044178
luwak_luwak,4-0-cheap,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0136023388850346,17.158884741453754,{'27CPU2Mem8GB.sh': 4},0.0267349645434666,4.816133333333351,0.49121537592019393,3.5627927122976297,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.0435691056575471,3.626358434004486,{'27CPU2Mem8GB.sh': 12},0.0268609306904,3.880286666666685,1.62202516955671,0.06544058583185375
ninja_dot,2-0-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0203762960760473,36.5843857142857,{'27CPU2Mem8GB.sh': 2},0.0265054645599409,12.37041,0.2312416924454489,2.9574109277126386,12-0-fast,{'01noThrottling.sh': 12},0.055371061189114,8.035975847554035,{'27CPU2Mem8GB.sh': 12},0.0271874458096456,9.56615715109573,2.0366407928423116,0.15995778444497177
