project_fr,bruteforce_category,bruteforce_confs,ga_category,ga_confs
fluent-logger-java_dot-0.2,6-0.2-fast,"{'21CPU025Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",6-0.2-fast,{'29CPU4Mem8GB.sh': 6}
handlebars.java_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},8-0.2-fast,{'29CPU4Mem8GB.sh': 8}
hbase_dot-0.2,8-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 7}",12-0.2-fast,{'20CPU010Mem2GB.sh': 12}
http-request_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
httpcore_dot-0.2,6-0.2-fast,{'01noThrottling.sh': 6},12-0.2-fast,{'01noThrottling.sh': 12}
hutool_hutool-cron-0.2,4-0.2-fast,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",4-0.2-fast,{'01noThrottling.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0.2,6-0.2-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0.2,6-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 2}",12-0.2-fast,{'01noThrottling.sh': 12}
logback_dot-0.2,4-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.2-fast,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 3, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2}"
luwak_luwak-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
ninja_dot-0.2,6-0.2-fast,{'01noThrottling.sh': 6},12-0.2-fast,{'01noThrottling.sh': 12}
noxy_noxy-discovery-zookeeper-0.2,2-0.2-fast,"{'01noThrottling.sh': 1, '22CPU05Mem2GB.sh': 1}",2-0.2-fast,{'01noThrottling.sh': 2}
okhttp_dot-0.2,6-0.2-fast,{'01noThrottling.sh': 6},12-0.2-fast,{'01noThrottling.sh': 12}
orbit_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
retrofit_retrofit-adapters.rxjava-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},6-0.2-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-0.2,6-0.2-fast,{'01noThrottling.sh': 6},12-0.2-fast,{'01noThrottling.sh': 12}
rxjava2-extras_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
spring-boot_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
timely_server-0.2,6-0.2-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.2-fast,{'01noThrottling.sh': 12}
