URL,sha,module
https://github.com/qos-ch/logback,0f575319,.
https://github.com/looly/hutool,91565d0,hutool-cron
https://github.com/alibaba/fastjson,e05e9c5,.
https://github.com/oryxproject/oryx,72ae4bb,framework.oryx-common
https://github.com/codingchili/excelastic,6bb7884,.
https://github.com/orbit/orbit,7bcd0940,.
https://github.com/espertechinc/esper,590fa9c,examples.rfidassetzone
https://github.com/davidmoten/rxjava2-extras,d0315b6,.
https://github.com/jknack/handlebars.java,db77ef2b,.
https://github.com/kagkarlsson/db-scheduler,4a8a28e,.
https://github.com/kevinsawicki/http-request,2d62a3e9,.
https://github.com/zxing/zxing,59ea393a,.
https://github.com/spinn3r/noxy,d53a494,noxy-discovery-zookeeper
https://github.com/ninjaframework/ninja,b1b58e87,.
https://github.com/javadelight/delight-nashorn-sandbox,da35edc,.
https://github.com/elasticjob/elastic-job-lite,b022898e,.
https://github.com/feroult/yawp,b3bcf9c,yawp-testing.yawp-testing-appengine
https://github.com/hector-client/hector,29e88d0b,.
https://github.com/apache/commons-exec,ea4d1d42,.
https://github.com/apache/incubator-dubbo,737f7a7e,.
https://github.com/apache/httpcore,49247d20,.
https://github.com/joel-costigliola/assertj-core,22be3825,.
https://github.com/fluent/fluent-logger-java,da14ec3,.
https://github.com/tootallnate/java-websocket,fa3909c3,.
https://github.com/spring-projects/spring-boot,cf24af0b,.
https://github.com/wso2/carbon-apimgt,a82213e,analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension
https://github.com/zalando/riptide,8277e11,riptide-failsafe
https://github.com/wro4j/wro4j,7e3801e1,.
https://github.com/nationalsecurityagency/timely,3a8cbd3,server
https://github.com/flaxsearch/luwak,c27ec08,luwak
