project,category,confs,time_seq,time_parallel,price,period
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0,"{'27CPU2Mem8GB.sh': 1, '19CPU010Mem1GB.sh': 3}",4517.0319175092445,1157.6534380203232,12.754162154091302,2275.6424338817596
hutool_hutool-cron,4-0,{'26CPU2Mem4GB.sh': 4},7.15398333333333,1.8661299999999992,0.05886535952777774,0.06610393524169922
