project,category
db-scheduler_dot,1-0.8
db-scheduler_dot,1-1
delight-nashorn-sandbox_dot,1-0
delight-nashorn-sandbox_dot,1-0.2
delight-nashorn-sandbox_dot,1-0.4
delight-nashorn-sandbox_dot,1-0.6
delight-nashorn-sandbox_dot,1-0.8
delight-nashorn-sandbox_dot,1-1
delight-nashorn-sandbox_dot,2-0.2
delight-nashorn-sandbox_dot,2-0.4
delight-nashorn-sandbox_dot,2-0.6
delight-nashorn-sandbox_dot,2-0.8
delight-nashorn-sandbox_dot,2-1
delight-nashorn-sandbox_dot,4-0.2
delight-nashorn-sandbox_dot,4-0.4
delight-nashorn-sandbox_dot,4-0.6
delight-nashorn-sandbox_dot,4-0.8
delight-nashorn-sandbox_dot,4-1
delight-nashorn-sandbox_dot,6-0.2
delight-nashorn-sandbox_dot,6-0.4
delight-nashorn-sandbox_dot,6-0.6
delight-nashorn-sandbox_dot,6-0.8
delight-nashorn-sandbox_dot,6-1
delight-nashorn-sandbox_dot,8-0.2
delight-nashorn-sandbox_dot,8-0.4
delight-nashorn-sandbox_dot,8-0.6
delight-nashorn-sandbox_dot,8-0.8
delight-nashorn-sandbox_dot,8-1
delight-nashorn-sandbox_dot,10-0.2
delight-nashorn-sandbox_dot,10-0.4
delight-nashorn-sandbox_dot,10-0.6
delight-nashorn-sandbox_dot,10-0.8
delight-nashorn-sandbox_dot,10-1
delight-nashorn-sandbox_dot,12-0.2
delight-nashorn-sandbox_dot,12-0.8
elastic-job-lite_dot,1-0
elastic-job-lite_dot,1-0.2
elastic-job-lite_dot,1-0.4
elastic-job-lite_dot,1-0.6
elastic-job-lite_dot,1-0.8
elastic-job-lite_dot,1-1
elastic-job-lite_dot,2-0
elastic-job-lite_dot,2-0.2
elastic-job-lite_dot,2-0.4
elastic-job-lite_dot,2-0.6
elastic-job-lite_dot,2-0.8
elastic-job-lite_dot,2-1
elastic-job-lite_dot,4-0
elastic-job-lite_dot,4-0.2
elastic-job-lite_dot,4-0.4
elastic-job-lite_dot,4-0.6
elastic-job-lite_dot,4-0.8
elastic-job-lite_dot,4-1
elastic-job-lite_dot,6-0
elastic-job-lite_dot,6-0.2
elastic-job-lite_dot,6-0.4
elastic-job-lite_dot,6-0.6
elastic-job-lite_dot,6-0.8
elastic-job-lite_dot,6-1
elastic-job-lite_dot,8-0
elastic-job-lite_dot,8-0.2
elastic-job-lite_dot,8-0.4
elastic-job-lite_dot,8-0.6
elastic-job-lite_dot,8-0.8
elastic-job-lite_dot,8-1
elastic-job-lite_dot,10-0
elastic-job-lite_dot,10-0.2
elastic-job-lite_dot,10-0.4
elastic-job-lite_dot,10-0.6
elastic-job-lite_dot,10-0.8
elastic-job-lite_dot,10-1
elastic-job-lite_dot,12-0.2
elastic-job-lite_dot,12-0.4
elastic-job-lite_dot,12-0.6
elastic-job-lite_dot,12-0.8
elastic-job-lite_elastic-job-lite-core,1-0
elastic-job-lite_elastic-job-lite-core,1-0.2
elastic-job-lite_elastic-job-lite-core,1-0.4
elastic-job-lite_elastic-job-lite-core,1-0.6
elastic-job-lite_elastic-job-lite-core,1-0.8
elastic-job-lite_elastic-job-lite-core,1-1
esper_examples.rfidassetzone,1-0
esper_examples.rfidassetzone,1-0.2
esper_examples.rfidassetzone,1-0.4
esper_examples.rfidassetzone,1-0.6
esper_examples.rfidassetzone,1-0.8
esper_examples.rfidassetzone,1-1
fastjson_dot,1-0
fastjson_dot,1-0.2
fastjson_dot,1-0.4
fastjson_dot,1-0.6
fastjson_dot,1-0.8
fastjson_dot,1-1
fluent-logger-java_dot,1-0
fluent-logger-java_dot,1-0.2
fluent-logger-java_dot,1-0.4
fluent-logger-java_dot,1-0.6
fluent-logger-java_dot,1-0.8
fluent-logger-java_dot,1-1
handlebars.java_dot,1-0.2
handlebars.java_dot,1-0.4
handlebars.java_dot,1-0.6
handlebars.java_dot,1-0.8
handlebars.java_dot,1-1
handlebars.java_dot,2-0.2
handlebars.java_dot,2-0.4
handlebars.java_dot,2-0.6
handlebars.java_dot,2-0.8
handlebars.java_dot,2-1
handlebars.java_dot,4-0.2
handlebars.java_dot,4-0.4
handlebars.java_dot,4-0.6
handlebars.java_dot,4-0.8
handlebars.java_dot,4-1
handlebars.java_dot,6-0.2
handlebars.java_dot,6-0.4
handlebars.java_dot,6-0.6
handlebars.java_dot,6-0.8
handlebars.java_dot,6-1
handlebars.java_dot,8-0.2
handlebars.java_dot,8-0.4
handlebars.java_dot,8-0.6
handlebars.java_dot,8-0.8
handlebars.java_dot,8-1
handlebars.java_dot,10-0.2
handlebars.java_dot,10-0.4
handlebars.java_dot,10-0.6
handlebars.java_dot,10-0.8
handlebars.java_dot,10-1
handlebars.java_dot,12-0.6
hbase_dot,1-0.6
hbase_dot,1-0.8
hbase_dot,1-1
http-request_dot,1-0
http-request_dot,1-0.2
http-request_dot,1-0.4
http-request_dot,1-0.6
http-request_dot,1-0.8
http-request_dot,1-1
http-request_dot,2-0
http-request_dot,2-0.2
http-request_dot,2-0.4
http-request_dot,2-0.6
http-request_dot,2-0.8
http-request_dot,2-1
http-request_dot,4-0
http-request_dot,4-0.2
http-request_dot,4-0.4
http-request_dot,4-0.6
http-request_dot,4-0.8
http-request_dot,4-1
http-request_dot,6-0
http-request_dot,6-0.2
http-request_dot,6-0.4
http-request_dot,6-0.6
http-request_dot,6-0.8
http-request_dot,6-1
http-request_dot,8-0
http-request_dot,8-0.2
http-request_dot,8-0.4
http-request_dot,8-0.6
http-request_dot,8-0.8
http-request_dot,8-1
http-request_dot,10-0.2
http-request_dot,10-0.4
http-request_dot,10-0.6
http-request_dot,10-0.8
http-request_dot,10-1
http-request_dot,12-0.2
http-request_dot,12-0.6
http-request_dot,12-1
httpcore_dot,1-0.2
httpcore_dot,1-0.4
httpcore_dot,1-0.6
httpcore_dot,1-0.8
httpcore_dot,1-1
hutool_hutool-cron,1-0
hutool_hutool-cron,1-0.2
hutool_hutool-cron,1-0.4
hutool_hutool-cron,1-0.6
hutool_hutool-cron,1-0.8
hutool_hutool-cron,1-1
hutool_hutool-cron,2-0
hutool_hutool-cron,2-0.2
hutool_hutool-cron,2-0.4
hutool_hutool-cron,2-0.6
hutool_hutool-cron,2-0.8
hutool_hutool-cron,2-1
hutool_hutool-cron,4-0
hutool_hutool-cron,4-0.2
hutool_hutool-cron,4-0.4
hutool_hutool-cron,4-0.6
hutool_hutool-cron,4-0.8
hutool_hutool-cron,4-1
hutool_hutool-cron,6-0
hutool_hutool-cron,6-0.2
hutool_hutool-cron,6-0.4
hutool_hutool-cron,6-0.6
hutool_hutool-cron,6-0.8
hutool_hutool-cron,6-1
hutool_hutool-cron,8-0
hutool_hutool-cron,8-0.2
hutool_hutool-cron,8-0.4
hutool_hutool-cron,8-0.6
hutool_hutool-cron,8-1
hutool_hutool-cron,10-0
hutool_hutool-cron,10-0.2
hutool_hutool-cron,10-0.4
hutool_hutool-cron,10-0.8
hutool_hutool-cron,12-0
hutool_hutool-cron,12-0.4
hutool_hutool-cron,12-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,8-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,8-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,8-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,8-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,10-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,10-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,12-0.4
logback_dot,1-0.2
logback_dot,1-0.4
logback_dot,1-0.6
logback_dot,1-0.8
logback_dot,1-1
luwak_luwak,1-0
luwak_luwak,1-0.2
luwak_luwak,1-0.4
luwak_luwak,1-0.6
luwak_luwak,1-0.8
luwak_luwak,1-1
ninja_dot,1-1
noxy_noxy-discovery-zookeeper,1-0
noxy_noxy-discovery-zookeeper,1-0.2
noxy_noxy-discovery-zookeeper,1-0.4
noxy_noxy-discovery-zookeeper,1-0.6
noxy_noxy-discovery-zookeeper,1-0.8
noxy_noxy-discovery-zookeeper,1-1
okhttp_dot,1-0.6
okhttp_dot,1-0.8
okhttp_dot,1-1
orbit_dot,1-0.2
orbit_dot,1-0.4
orbit_dot,1-0.6
orbit_dot,1-0.8
orbit_dot,1-1
orbit_dot,2-0.4
orbit_dot,2-0.6
orbit_dot,2-0.8
orbit_dot,2-1
orbit_dot,4-0.4
orbit_dot,4-0.6
orbit_dot,4-0.8
orbit_dot,4-1
orbit_dot,6-0.4
orbit_dot,6-0.6
orbit_dot,6-0.8
orbit_dot,6-1
orbit_dot,8-0.4
orbit_dot,8-0.6
orbit_dot,8-0.8
orbit_dot,8-1
orbit_dot,10-0.4
orbit_dot,10-0.8
orbit_dot,10-1
orbit_dot,12-0.6
orbit_dot,12-1
retrofit_retrofit-adapters.rxjava,1-0
retrofit_retrofit-adapters.rxjava,1-0.2
retrofit_retrofit-adapters.rxjava,1-0.4
retrofit_retrofit-adapters.rxjava,1-0.6
retrofit_retrofit-adapters.rxjava,1-0.8
retrofit_retrofit-adapters.rxjava,1-1
retrofit_retrofit,1-0
retrofit_retrofit,1-0.2
retrofit_retrofit,1-0.4
retrofit_retrofit,1-0.6
retrofit_retrofit,1-0.8
retrofit_retrofit,1-1
retrofit_retrofit,2-0
retrofit_retrofit,2-0.2
retrofit_retrofit,2-0.4
retrofit_retrofit,2-0.6
retrofit_retrofit,2-0.8
retrofit_retrofit,2-1
retrofit_retrofit,4-0
retrofit_retrofit,4-0.2
retrofit_retrofit,4-0.4
retrofit_retrofit,4-0.6
retrofit_retrofit,4-0.8
retrofit_retrofit,4-1
retrofit_retrofit,6-0
retrofit_retrofit,6-0.2
retrofit_retrofit,6-0.4
retrofit_retrofit,6-0.6
retrofit_retrofit,6-0.8
retrofit_retrofit,6-1
retrofit_retrofit,8-0
retrofit_retrofit,8-0.2
retrofit_retrofit,8-0.4
retrofit_retrofit,8-0.6
retrofit_retrofit,8-0.8
retrofit_retrofit,8-1
retrofit_retrofit,10-0.2
retrofit_retrofit,10-0.4
retrofit_retrofit,10-0.6
retrofit_retrofit,10-0.8
retrofit_retrofit,12-0
retrofit_retrofit,12-0.2
retrofit_retrofit,12-0.8
retrofit_retrofit,12-1
rxjava2-extras_dot,1-0.2
rxjava2-extras_dot,1-0.4
rxjava2-extras_dot,1-0.6
rxjava2-extras_dot,1-0.8
rxjava2-extras_dot,1-1
spring-boot_dot,1-0
spring-boot_dot,1-0.2
spring-boot_dot,1-0.4
spring-boot_dot,1-0.6
spring-boot_dot,1-0.8
spring-boot_dot,1-1
timely_server,1-0.2
timely_server,1-0.4
timely_server,1-0.6
timely_server,1-0.8
timely_server,1-1
timely_server,2-0.2
timely_server,2-0.4
timely_server,2-0.6
timely_server,2-0.8
timely_server,2-1
timely_server,4-0.2
timely_server,4-0.4
timely_server,4-0.6
timely_server,4-0.8
timely_server,4-1
timely_server,6-0.2
timely_server,6-0.4
timely_server,6-0.6
timely_server,6-0.8
timely_server,6-1
timely_server,8-0.2
timely_server,8-0.4
timely_server,8-0.6
timely_server,8-0.8
timely_server,8-1
timely_server,10-0.4
timely_server,10-0.6
timely_server,10-1
wro4j_wro4j-extensions,1-0
wro4j_wro4j-extensions,1-0.2
wro4j_wro4j-extensions,1-0.4
wro4j_wro4j-extensions,1-0.6
wro4j_wro4j-extensions,1-0.8
wro4j_wro4j-extensions,1-1
yawp_yawp-testing.yawp-testing-appengine,1-0.2
yawp_yawp-testing.yawp-testing-appengine,1-0.4
yawp_yawp-testing.yawp-testing-appengine,1-0.6
yawp_yawp-testing.yawp-testing-appengine,1-0.8
yawp_yawp-testing.yawp-testing-appengine,1-1
yawp_yawp-testing.yawp-testing-appengine,2-0.2
yawp_yawp-testing.yawp-testing-appengine,2-0.4
yawp_yawp-testing.yawp-testing-appengine,2-0.6
yawp_yawp-testing.yawp-testing-appengine,2-0.8
yawp_yawp-testing.yawp-testing-appengine,2-1
yawp_yawp-testing.yawp-testing-appengine,4-0.2
yawp_yawp-testing.yawp-testing-appengine,4-0.4
yawp_yawp-testing.yawp-testing-appengine,4-0.6
yawp_yawp-testing.yawp-testing-appengine,4-0.8
yawp_yawp-testing.yawp-testing-appengine,4-1
yawp_yawp-testing.yawp-testing-appengine,6-0.2
yawp_yawp-testing.yawp-testing-appengine,6-0.4
yawp_yawp-testing.yawp-testing-appengine,6-0.6
yawp_yawp-testing.yawp-testing-appengine,6-0.8
yawp_yawp-testing.yawp-testing-appengine,6-1
yawp_yawp-testing.yawp-testing-appengine,8-0.2
yawp_yawp-testing.yawp-testing-appengine,8-0.4
yawp_yawp-testing.yawp-testing-appengine,8-0.6
yawp_yawp-testing.yawp-testing-appengine,8-0.8
yawp_yawp-testing.yawp-testing-appengine,8-1
yawp_yawp-testing.yawp-testing-appengine,10-0.4
yawp_yawp-testing.yawp-testing-appengine,10-0.6
yawp_yawp-testing.yawp-testing-appengine,10-0.8
