project,machines_num,conf,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,probability_failure_rate
delight-nashorn-sandbox_dot,1,19CPU010Mem1GB.sh,638.313760831104,638.313760831104,0.4517665642282138,0.0,0.56,0.9148019880573388
delight-nashorn-sandbox_dot,1,20CPU010Mem2GB.sh,578.0029606100082,578.0029606100082,0.6231835253643573,0.0,0.6366666666666667,0.9162580892933292
delight-nashorn-sandbox_dot,1,21CPU025Mem2GB.sh,157.4471991271263,157.4471991271263,0.2494226046172226,0.0,0.44333333333333336,0.5749362748113416
delight-nashorn-sandbox_dot,1,22CPU05Mem2GB.sh,74.28715167136512,74.28715167136512,0.18033206068223886,0.0,0.32333333333333336,0.4072283112996977
delight-nashorn-sandbox_dot,1,23CPU05Mem4GB.sh,71.60032193734176,71.60032193734176,0.22685368667147782,0.0,0.31999999999999995,0.4166593502419217
delight-nashorn-sandbox_dot,1,24CPU1Mem4GB.sh,35.15229168601457,35.15229168601457,0.17066437613560076,0.0,0.040000000000000036,0.08125937777777781
delight-nashorn-sandbox_dot,1,25CPU1Mem8GB.sh,34.9636151208728,34.9636151208728,0.22155277448259733,0.0,0.030000000000000027,0.07140170671066659
delight-nashorn-sandbox_dot,1,26CPU2Mem4GB.sh,17.464523214569915,17.464523214569915,0.14370391851721948,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,1,27CPU2Mem8GB.sh,18.147201257554926,18.147201257554926,0.17620932421085836,0.0,0.0033333333333332993,0.0033333333333332993
delight-nashorn-sandbox_dot,1,28CPU2Mem16GB.sh,18.63109731680852,18.63109731680852,0.23611810666168667,0.0,0.0033333333333332993,0.006655555555555526
delight-nashorn-sandbox_dot,1,29CPU4Mem8GB.sh,16.57118333333332,16.57118333333332,0.2727064403888887,0.0,0.0,0.0
delight-nashorn-sandbox_dot,1,01noThrottling.sh,17.28250307343513,17.28250307343513,0.33562620968611023,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,2,19CPU010Mem1GB.sh,707.8197029782975,354.9305586837874,0.5009593947828901,0.0,0.56,0.9148019880573387
delight-nashorn-sandbox_dot,2,20CPU010Mem2GB.sh,644.7828670268647,323.24729787113404,0.6951833944661312,0.0,0.6366666666666667,0.9162580892933292
delight-nashorn-sandbox_dot,2,21CPU025Mem2GB.sh,176.82244282911364,88.54886998113705,0.2801162198484542,0.0,0.44333333333333336,0.5749362748113417
delight-nashorn-sandbox_dot,2,22CPU05Mem2GB.sh,83.24608852729392,41.64854741789292,0.202079879900006,0.0,0.32333333333333336,0.4072283112996977
delight-nashorn-sandbox_dot,2,23CPU05Mem4GB.sh,80.28642329012476,40.14415199347261,0.25437415112421197,0.0,0.31999999999999995,0.4166593502419216
delight-nashorn-sandbox_dot,2,24CPU1Mem4GB.sh,39.55759397089731,19.778964547932514,0.19205211872870645,0.0,0.040000000000000036,0.08125937777777781
delight-nashorn-sandbox_dot,2,25CPU1Mem8GB.sh,39.27461341743307,19.63774577953395,0.2488701336884676,0.0,0.030000000000000027,0.07140170671066681
delight-nashorn-sandbox_dot,2,26CPU2Mem4GB.sh,19.606574243652684,9.80478769574944,0.16132942840152217,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,2,27CPU2Mem8GB.sh,20.330161915302966,10.183454590888248,0.19740587219759181,0.0,0.0033333333333332993,0.0033333333333332993
delight-nashorn-sandbox_dot,2,28CPU2Mem16GB.sh,20.779449591056025,10.456758940914158,0.2633448911506501,0.0,0.0033333333333332993,0.006655555555555526
delight-nashorn-sandbox_dot,2,29CPU4Mem8GB.sh,18.44131333333332,9.222163333333327,0.30348254642222194,0.0,0.0,0.0
delight-nashorn-sandbox_dot,2,01noThrottling.sh,19.187418464934005,9.628182058165544,0.37261966658901846,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,4,19CPU010Mem1GB.sh,846.831587272685,212.74487924601897,0.5993450558922427,0.0,0.56,0.9148019880573388
delight-nashorn-sandbox_dot,4,20CPU010Mem2GB.sh,778.342679860578,195.01551308352325,0.8391831326696798,0.0,0.6366666666666667,0.9162580892933292
delight-nashorn-sandbox_dot,4,21CPU025Mem2GB.sh,215.572930233088,54.22032470302819,0.3415034503109169,0.0,0.44333333333333336,0.5749362748113416
delight-nashorn-sandbox_dot,4,22CPU05Mem2GB.sh,101.16396223915153,25.414047058546686,0.24557551833554034,0.0,0.32333333333333336,0.4072283112996977
delight-nashorn-sandbox_dot,4,23CPU05Mem4GB.sh,97.65862599569081,24.535718019449668,0.30941508002968043,0.0,0.31999999999999995,0.4166593502419217
delight-nashorn-sandbox_dot,4,24CPU1Mem4GB.sh,48.368198540662796,12.225962284882744,0.23482760391491792,0.0,0.040000000000000036,0.08125937777777781
delight-nashorn-sandbox_dot,4,25CPU1Mem8GB.sh,47.89661001055361,12.05821829656027,0.30350485210020806,0.0,0.030000000000000027,0.07140170671066659
delight-nashorn-sandbox_dot,4,26CPU2Mem4GB.sh,23.890676301818228,6.334791029082772,0.19658044817012765,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,4,27CPU2Mem8GB.sh,24.696083230799076,6.411747324414718,0.23979896817105906,0.0,0.0033333333333332993,0.0033333333333332993
delight-nashorn-sandbox_dot,4,28CPU2Mem16GB.sh,25.076154139550994,6.360528940914154,0.31779846012857627,0.0,0.0033333333333332993,0.006655555555555526
delight-nashorn-sandbox_dot,4,29CPU4Mem8GB.sh,22.181573333333304,5.988706666666658,0.36503475848888833,0.0,0.0,0.0
delight-nashorn-sandbox_dot,4,01noThrottling.sh,22.997249247931766,6.062675391498879,0.4466065803948349,0.0,0.00666666666666671,0.00666666666666671
delight-nashorn-sandbox_dot,6,19CPU010Mem1GB.sh,985.8434715670722,195.93414548052698,0.6977307170015954,0.0,0.56,0.9148019880573388
delight-nashorn-sandbox_dot,6,20CPU010Mem2GB.sh,911.9024926942911,178.65738975018988,0.9831828708732282,0.0,0.6366666666666667,0.9162580892933292
delight-nashorn-sandbox_dot,6,21CPU025Mem2GB.sh,254.32341763706242,52.63229703532058,0.4028906807733798,0.0,0.44333333333333336,0.5749362748113416
delight-nashorn-sandbox_dot,6,22CPU05Mem2GB.sh,119.08183595100914,25.207000189262132,0.28907115677107464,0.0,0.32333333333333336,0.4072283112996977
delight-nashorn-sandbox_dot,6,23CPU05Mem4GB.sh,115.03082870125682,24.535718019449668,0.3644560089351488,0.0,0.31999999999999995,0.4166593502419217
delight-nashorn-sandbox_dot,6,24CPU1Mem4GB.sh,57.1788031104283,12.225962284882744,0.2776030891011294,0.0,0.040000000000000036,0.08125937777777781
