project_fr,cheapest_ga_category,cheapest_ga_confs,cheapest_bf_category,cheapest_bf_confs,fastest_ga_category,fastest_ga_confs,fastest_bf_category,fastest_bf_confs
activiti_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},6-0.2,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 2}",6-0.2,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 5}"
assertj-core_dot_0.2,1-0.2,{'26CPU2Mem4GB.sh': 1},1-0.2,{'26CPU2Mem4GB.sh': 1},6-0.2,{'29CPU4Mem8GB.sh': 6},6-0.2,{'29CPU4Mem8GB.sh': 6}
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension_0.2,1-0.2,{'19CPU010Mem1GB.sh': 1},1-0.2,{'19CPU010Mem1GB.sh': 1},2-0.2,{'29CPU4Mem8GB.sh': 2},2-0.2,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot_0.2,1-0.2,{'19CPU010Mem1GB.sh': 1},1-0.2,{'19CPU010Mem1GB.sh': 1},6-0.2,{'01noThrottling.sh': 6},6-0.2,{'01noThrottling.sh': 6}
db-scheduler_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},6-0.2,{'29CPU4Mem8GB.sh': 6},6-0.2,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot_0.2,1-0.2,{'26CPU2Mem4GB.sh': 1},1-0.2,{'26CPU2Mem4GB.sh': 1},6-0.2,{'29CPU4Mem8GB.sh': 6},6-0.2,{'29CPU4Mem8GB.sh': 6}
elastic-job-lite_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},6-0.2,{'01noThrottling.sh': 6},6-0.2,{'01noThrottling.sh': 6}
elastic-job-lite_elastic-job-lite-core_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},6-0.2,{'01noThrottling.sh': 6},6-0.2,{'01noThrottling.sh': 6}
esper_examples.rfidassetzone_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},2-0.2,{'01noThrottling.sh': 2},2-0.2,{'01noThrottling.sh': 2}
fastjson_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},1-0.2,{'22CPU05Mem2GB.sh': 1},6-0.2,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 4}",6-0.2,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 4}"
