project,total_num,avg_runtime_rate,avg_price_rate,sum_period_rate,different_confs_num,difference_rate
commons-exec_dot,24,1.0049885838916992,1.0,0.0015724485076051722,0,0.0
delight-nashorn-sandbox_dot,24,1.0042200598160782,1.0,0.001838972739202304,0,0.0
elastic-job-lite_dot,24,1.0,1.0,0.00986553363249155,0,0.0
elastic-job-lite_elastic-job-lite-core,24,1.0,1.0,0.01015426794630901,0,0.0
fastjson_dot,24,1.0,1.0,0.056067419338052975,0,0.0
fluent-logger-java_dot,24,1.0,1.0,0.0011897017608974315,8,0.3333333333333333
http-request_dot,24,1.0,1.0,0.002936702499582278,0,0.0
hutool_hutool-cron,24,1.0,1.0,0.0008159029239260093,0,0.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,24,1.0,1.0,0.000819803482739523,0,0.0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,24,1.000615450812692,1.0,0.0017598962353399155,0,0.0
luwak_luwak,24,1.0,1.0,0.004543097199896262,0,0.0
noxy_noxy-discovery-zookeeper,24,1.0,1.0,0.0007761337894727682,0,0.0
retrofit_retrofit-adapters.rxjava,24,1.0,1.0,0.0028959468515476526,0,0.0
retrofit_retrofit,24,1.0,1.0,0.0064105591666737665,0,0.0
rxjava2-extras_dot,23,1.0,1.0,0.010084058848371902,0,0.0
spring-boot_dot,24,1.0,1.0,0.03338896647308853,0,0.0
wro4j_wro4j-extensions,24,1.0459874051431297,1.0,0.0064779161574005035,0,0.0
