project,category,ga_confs,ga_runtime,ga_price,ga_max_failure_rate,ga_period,bf_confs,bf_runtime,bf_price,bf_max_failure_rate,bf_period,runtime_rate,price_rate,period_difference_value,difference
activiti_dot,1-0.2,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.6548937155172412,0.1999999999999999,0.0699336528778076,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.654893715517241,0.1999999999999999,0.0501222610473632,1.0,1.0000000000000002,-0.019811391830444405,False
activiti_dot,1-0.4,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.6548937155172412,0.1999999999999999,0.073268175125122,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.654893715517241,0.1999999999999999,0.0491161346435546,1.0,1.0000000000000002,-0.024152040481567404,False
activiti_dot,1-0.6,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.6548937155172412,0.1999999999999999,0.0710852146148681,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.654893715517241,0.1999999999999999,0.0484027862548828,1.0,1.0000000000000002,-0.022682428359985296,False
activiti_dot,1-0.8,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.6548937155172412,0.1999999999999999,0.0648567676544189,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.654893715517241,0.1999999999999999,0.0497598648071289,1.0,1.0000000000000002,-0.015096902847290004,False
activiti_dot,1-1,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.6548937155172412,0.1999999999999999,0.0724525451660156,{'22CPU05Mem2GB.sh': 1},681.7275862068964,1.654893715517241,0.1999999999999999,0.0499012470245361,1.0,1.0000000000000002,-0.0225512981414795,False
activiti_dot,2-0.2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.18762005078,1.7070393943522189,0.1999999999999999,0.3464016914367676,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.18762005078,1.7070393943522186,0.1999999999999999,0.3555130958557129,1.0,1.0000000000000002,0.009111404418945312,False
activiti_dot,2-0.4,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596134,0.2166666666666666,0.3917422294616699,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596132,0.2166666666666666,0.3828613758087158,1.0,1.0000000000000002,-0.008880853652954102,False
activiti_dot,2-0.6,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596134,0.2166666666666666,0.4298362731933594,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596132,0.2166666666666666,0.3535327911376953,1.0,1.0000000000000002,-0.07630348205566406,False
activiti_dot,2-0.8,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596134,0.2166666666666666,0.4122357368469238,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596132,0.2166666666666666,0.3537943363189697,1.0,1.0000000000000002,-0.058441400527954046,False
activiti_dot,2-1,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596134,0.2166666666666666,0.3991231918334961,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",312.1216760852628,1.7070083776596132,0.2166666666666666,0.3596076965332031,1.0,1.0000000000000002,-0.03951549530029297,False
activiti_dot,4-0.2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.18762005078,2.1721707145570326,0.1999999999999999,1.0715136528015137,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.18762005078,2.1721707145570326,0.1999999999999999,7.360040664672852,1.0,1.0,6.288527011871338,False
activiti_dot,4-0.4,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,1.0587506294250488,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,7.31220817565918,1.0,1.0,6.253457546234131,False
activiti_dot,4-0.6,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,0.8542256355285645,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,7.360671758651733,1.0,1.0,6.506446123123169,False
activiti_dot,4-0.8,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,0.9930469989776612,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,7.316698789596558,1.0,1.0,6.3236517906188965,False
activiti_dot,4-1,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,1.11659836769104,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 3}",312.1216760852628,2.172139697864428,0.2166666666666666,7.380160570144653,1.0,1.0,6.263562202453613,False
