project,total_num,avg_runtime_rate,avg_price_rate,sum_period_rate,different_confs_num,difference_rate
activiti_dot,20,1.0000220140206448,1.0014494276952939,0.032203709322365805,1,0.05
assertj-core_dot,20,1.0,0.9949602927910096,0.06495114785617981,3,0.15
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,24,1.0,0.981693247856929,0.0004602626691047037,16,0.6666666666666666
commons-exec_dot,24,1.0,0.949627305148602,0.001687576921257217,17,0.7083333333333334
db-scheduler_dot,20,1.0,0.9520830408699326,0.0008391255996208664,15,0.75
delight-nashorn-sandbox_dot,24,1.0,0.9685955570274835,0.0018046291046926385,12,0.5
elastic-job-lite_dot,24,1.0,0.9885386291622588,0.012726245853448562,11,0.4583333333333333
elastic-job-lite_elastic-job-lite-core,24,1.0,0.9497400012556106,0.011918420423202777,18,0.75
esper_examples.rfidassetzone,24,1.0,0.9982990698612696,0.00036503734760496084,15,0.625
fastjson_dot,24,1.0007986126736375,0.9952917041348325,0.05556452567412662,6,0.25
fluent-logger-java_dot,24,1.0,1.0645088794761075,0.0006530425874645657,12,0.5
handlebars.java_dot,20,1.0,0.9858982894842198,0.006063673050321185,10,0.5
hbase_dot,12,0.9993921357248174,1.00196162390305,0.005857864117216002,1,0.08333333333333333
http-request_dot,24,1.0,1.0013750084899409,0.003030015390283479,5,0.20833333333333334
httpcore_dot,20,1.0,1.0,0.009667213534823206,0,0.0
hutool_hutool-cron,24,1.0,1.0044653000283186,0.00036380025536955206,9,0.375
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,24,1.0,0.982136631281673,0.0005078853104479466,7,0.2916666666666667
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,24,1.0,0.9624743942474628,0.0018294919543147751,12,0.5
logback_dot,20,1.0,0.9225071690645583,0.01852600291390444,15,0.75
luwak_luwak,24,0.9999959869568139,1.0124049262468167,0.003104800870844105,9,0.375
ninja_dot,4,1.0,1.0144843863304174,0.0050332514915220365,1,0.25
noxy_noxy-discovery-zookeeper,24,1.0,0.9766336492183424,0.00043498242666557433,17,0.7083333333333334
okhttp_dot,15,1.0,0.9898898193172558,0.009522187631975971,3,0.2
orbit_dot,20,1.0,0.9537904739952024,0.0014799520043894965,10,0.5
retrofit_retrofit-adapters.rxjava,24,1.0,0.9740873369875668,0.001381708433335421,12,0.5
retrofit_retrofit,24,1.0,1.0126303181446927,0.005266642044288368,16,0.6666666666666666
rxjava2-extras_dot,23,0.9997931437721853,1.0294687352276144,0.006287593340915336,6,0.2608695652173913
spring-boot_dot,24,0.9999965255053883,0.9999965310993152,0.018808798335254315,0,0.0
timely_server,20,1.0,1.001160245770977,0.002365796212135808,1,0.05
wro4j_wro4j-extensions,24,0.9993839423437917,1.005826204959096,0.00452891715640828,3,0.125
yawp_yawp-testing.yawp-testing-appengine,20,1.0,0.9513530479034232,0.00024097816861131201,12,0.6
zxing_dot,20,0.999979385602745,1.019484804432718,0.004631327167323532,5,0.25
