project,machines_num,conf,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,probability_failure_rate,fitness
spring-boot_dot,1,19CPU010Mem1GB.sh,1318.8170862069,1318.8170862069,0.9333927927629334,0.0,0.0,0.0,6.516318725595235
spring-boot_dot,1,20CPU010Mem2GB.sh,1283.5941932216103,1283.5941932216103,1.383928472658433,0.0,0.0034482758620689724,0.0034482758620689724,6.5086938883307
spring-boot_dot,1,21CPU025Mem2GB.sh,482.0084241379315,482.0084241379315,0.7635816785718398,0.0,0.0,0.0,2.5294735989848314
spring-boot_dot,1,22CPU05Mem2GB.sh,233.42159537059624,233.42159537059624,0.5666309227621223,0.0,0.0033333333333332993,0.0033333333333332993,1.2938431784203006
spring-boot_dot,1,23CPU05Mem4GB.sh,233.04264330120333,233.04264330120333,0.7383567748593125,0.0,0.00666666666666671,0.00666666666666671,1.3521686831437811
spring-boot_dot,1,24CPU1Mem4GB.sh,124.36937001876818,124.36937001876818,0.6038132914411196,0.0,0.00666666666666671,0.00666666666666671,0.7950399641582095
spring-boot_dot,1,25CPU1Mem8GB.sh,123.56106812090106,123.56106812090106,0.7829653016594431,0.0,0.0033333333333332993,0.0033333333333332993,0.8539495478784006
spring-boot_dot,1,26CPU2Mem4GB.sh,73.47427551869306,73.47427551869306,0.6045708303929794,0.0,0.0033333333333332993,0.0033333333333332993,0.5564381131315971
spring-boot_dot,1,27CPU2Mem8GB.sh,73.68835666666648,73.68835666666648,0.7155139432333316,0.0,0.0,0.0,0.5962729540631941
spring-boot_dot,1,28CPU2Mem16GB.sh,73.41568666666659,73.41568666666659,0.9304214690222213,0.0,0.0,0.0,0.6702108603923581
spring-boot_dot,1,29CPU4Mem8GB.sh,69.45108097593199,69.45108097593199,1.1429332892605875,0.0,0.00666666666666671,0.00666666666666671,0.7259828323681088
spring-boot_dot,1,01noThrottling.sh,71.26830666666699,71.26830666666699,1.384030515466673,0.0,0.0,0.0,0.8188956841024528
spring-boot_dot,2,19CPU010Mem1GB.sh,1318.8170862068955,659.4102896551724,0.9333927927629302,0.0,0.0,0.0,3.421511298658108
spring-boot_dot,2,20CPU010Mem2GB.sh,1283.5941932216115,641.7976656354042,1.3839284726584342,0.0,0.0034482758620689724,0.0034482758620689724,3.4965370974953838
spring-boot_dot,2,21CPU025Mem2GB.sh,482.0084241379312,241.00431379310345,0.7635816785718392,0.0,0.0,0.0,1.3983640706664668
spring-boot_dot,2,22CPU05Mem2GB.sh,233.42159537059632,116.71091333333334,0.5666309227621227,0.0,0.0033333333333332993,0.0033333333333332993,0.7460825434668147
spring-boot_dot,2,23CPU05Mem4GB.sh,233.04264330120262,116.52145333333335,0.7383567748593103,0.0,0.00666666666666671,0.00666666666666671,0.8052973952015319
spring-boot_dot,2,24CPU1Mem4GB.sh,124.36937001876788,62.18478668543454,0.6038132914411182,0.0,0.00666666666666671,0.00666666666666671,0.5031877852795907
spring-boot_dot,2,25CPU1Mem8GB.sh,123.56106812090101,61.78057812090094,0.7829653016594428,0.0,0.0033333333333332993,0.0033333333333332993,0.5639939085194172
spring-boot_dot,2,26CPU2Mem4GB.sh,73.47427551869282,36.73713999999987,0.6045708303929773,0.0,0.0033333333333332993,0.0033333333333332993,0.3840189624006734
spring-boot_dot,2,27CPU2Mem8GB.sh,73.68835666666675,36.84419000000005,0.7155139432333342,0.0,0.0,0.0,0.4233514718528373
spring-boot_dot,2,28CPU2Mem16GB.sh,73.41568666666663,36.707843333333315,0.9304214690222218,0.0,0.0,0.0,0.497929187275068
spring-boot_dot,2,29CPU4Mem8GB.sh,69.45108097593197,34.725540975931956,1.1429332892605872,0.0,0.00666666666666671,0.00666666666666671,0.5630047440948378
spring-boot_dot,2,01noThrottling.sh,71.2683066666666,35.63415333333332,1.3840305154666654,0.0,0.0,0.0,0.6516531822578907
spring-boot_dot,4,19CPU010Mem1GB.sh,1318.817086206896,329.7115896551729,0.9333927927629305,0.0,0.0,0.0,1.8741296357039088
spring-boot_dot,4,20CPU010Mem2GB.sh,1283.59419322161,320.90154137931023,1.3839284726584329,0.0,0.0034482758620689724,0.0034482758620689724,1.9904687436106006
spring-boot_dot,4,21CPU025Mem2GB.sh,482.0084241379311,120.50228275862077,0.7635816785718392,0.0,0.0,0.0,0.8328094197943323
spring-boot_dot,4,22CPU05Mem2GB.sh,233.4215953705962,58.35540999999998,0.5666309227621223,0.0,0.0033333333333332993,0.0033333333333332993,0.4722014641951559
spring-boot_dot,4,23CPU05Mem4GB.sh,233.04264330120262,58.26077663453595,0.7383567748593103,0.0,0.00666666666666671,0.00666666666666671,0.5318613677163697
spring-boot_dot,4,24CPU1Mem4GB.sh,124.36937001876788,31.092703333333343,0.6038132914411181,0.0,0.00666666666666671,0.00666666666666671,0.3572626735272999
spring-boot_dot,4,25CPU1Mem8GB.sh,123.56106812090088,30.89037666666665,0.782965301659442,0.0,0.0033333333333332993,0.0033333333333332993,0.4190162932141599
spring-boot_dot,4,26CPU2Mem4GB.sh,73.4742755186929,18.368636666666696,0.6045708303929781,0.0,0.0033333333333332993,0.0033333333333332993,0.29780968940714087
spring-boot_dot,4,27CPU2Mem8GB.sh,73.68835666666664,18.422186666666626,0.7155139432333331,0.0,0.0,0.0,0.336891106213296
spring-boot_dot,4,28CPU2Mem16GB.sh,73.41568666666669,18.353940000000016,0.9304214690222226,0.0,0.0,0.0,0.41178843676063215
spring-boot_dot,4,29CPU4Mem8GB.sh,69.45108097593206,17.362773333333323,1.1429332892605886,0.0,0.00666666666666671,0.00666666666666671,0.48151571102224294
