project,machines_num,conf,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,probability_failure_rate
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,19CPU010Mem1GB.sh,1209.5288605111668,1209.5288605111668,0.8560440510267783,0.0,0.07241379310344831,0.0756123662306778
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,20CPU010Mem2GB.sh,1208.0576330776676,1208.0576330776676,1.302487471396572,0.0,0.10689655172413792,0.11305588585017834
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,21CPU025Mem2GB.sh,1128.6312311939714,1128.6312311939714,1.7879399754164498,0.0,0.0034482758620689724,0.0034482758620689724
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,22CPU05Mem2GB.sh,1106.2100711854912,1106.2100711854912,2.6853249478027803,0.0,0.010344827586206917,0.013757431629013106
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,23CPU05Mem4GB.sh,1105.991710249721,1105.991710249721,3.5041504019745333,0.0,0.01379310344827589,0.01379310344827589
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,24CPU1Mem4GB.sh,1095.964792491198,1095.964792491198,5.3209090675447674,0.0,0.024137931034482807,0.024137931034482807
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,25CPU1Mem8GB.sh,1095.8108795755838,1095.8108795755838,6.943788273577284,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,26CPU2Mem4GB.sh,1091.8557095007184,1091.8557095007184,8.984152729675078,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,27CPU2Mem8GB.sh,1091.7620689655168,1091.7620689655168,10.60100968965517,0.0,0.0,0.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,28CPU2Mem16GB.sh,1091.8253033690698,1091.8253033690698,13.837066011364012,0.0,0.010344827586206917,0.010344827586206917
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,29CPU4Mem8GB.sh,1090.4548917544917,1090.4548917544917,17.94525266863975,0.0,0.017241379310344862,0.017241379310344862
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1,01noThrottling.sh,1090.661430918878,1090.661430918878,21.180644988444616,0.0,0.024137931034482807,0.024137931034482807
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,19CPU010Mem1GB.sh,2342.7233881866623,1199.3385880973738,1.65806247798911,0.0,0.07241379310344831,0.0756123662306778
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,20CPU010Mem2GB.sh,2340.1852130043308,1208.0576330776676,2.5231096904875026,0.0,0.10689655172413792,0.11305588585017834
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,21CPU025Mem2GB.sh,2206.0884402740335,1127.6697553319027,3.4948117708007813,0.0,0.0034482758620689724,0.0034482758620689724
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,22CPU05Mem2GB.sh,2167.8443759004867,1104.6648849785947,5.262442222498431,0.0,0.010344827586206917,0.013757431629013106
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,23CPU05Mem4GB.sh,2167.4156963601627,1103.5337964566177,6.867095397967781,0.0,0.01379310344827589,0.01379310344827589
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,24CPU1Mem4GB.sh,2150.118778819942,1095.964792491198,10.438826671170819,0.0,0.024137931034482807,0.024137931034482807
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,25CPU1Mem8GB.sh,2149.994727588036,1095.8108795755838,13.62379992381619,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,26CPU2Mem4GB.sh,2143.0932551903734,1090.2322543283046,17.63408566812479,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,27CPU2Mem8GB.sh,2143.010286206896,1081.7558793103444,20.808629879068963,0.0,0.0,0.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,28CPU2Mem16GB.sh,2143.036320141868,1091.8253033690698,27.159413630597943,0.0,0.010344827586206917,0.010344827586206917
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,29CPU4Mem8GB.sh,2140.3348031277524,1080.27116999395,35.22277641013904,0.0,0.017241379310344862,0.017241379310344862
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2,01noThrottling.sh,2140.6621050507165,1088.6600998843953,41.571658080084916,0.0,0.024137931034482807,0.024137931034482807
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,19CPU010Mem1GB.sh,4609.112443537653,1188.3761225801325,3.2620993319137734,0.0,0.07241379310344831,0.0756123662306778
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,20CPU010Mem2GB.sh,4604.440372857657,1208.0576330776676,4.964354128669363,0.0,0.10689655172413792,0.11305588585017834
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,21CPU025Mem2GB.sh,4361.002858434158,1107.1605401145443,6.908555361569444,0.0,0.0034482758620689724,0.0034482758620689724
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,22CPU05Mem2GB.sh,4291.112985330477,1106.2089194613532,10.416676771889733,0.0,0.010344827586206917,0.013757431629013106
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,23CPU05Mem4GB.sh,4290.263668581046,1085.7707516276823,13.592985389954277,0.0,0.01379310344827589,0.01379310344827589
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,24CPU1Mem4GB.sh,4258.426751477429,1085.7091035701228,20.674661878422917,0.0,0.024137931034482807,0.024137931034482807
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,25CPU1Mem8GB.sh,4258.362423612941,1075.71909973659,26.983823224294,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,26CPU2Mem4GB.sh,4245.568346569683,1080.3348543283046,34.933951545024215,0.0,0.006896551724137945,0.006896551724137945
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,27CPU2Mem8GB.sh,4245.506720689655,1071.5447413793102,41.22387025789655,0.0,0.0,0.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,28CPU2Mem16GB.sh,4245.458353687465,1090.5948964725183,53.8041088690658,0.0,0.010344827586206917,0.010344827586206917
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4,29CPU4Mem8GB.sh,4240.094625874273,1088.7073158924227,69.77782389313762,0.0,0.017241379310344862,0.017241379310344862
