project,category,confs,runtime,price,score,max_failure_rate,github_caliber_confs,github_caliber_runtime,github_caliber_price,github_caliber_score,github_caliber_max_failure_rate,github_caliber_score_rate,smart_baseline_confs,smart_baseline_runtime,smart_baseline_price,smart_baseline_score,smart_baseline_max_failure_rate,smart_baseline_score_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0-cheap,{'26CPU2Mem4GB.sh': 2},17.253256666666672,0.0569259114099777,0.4008525265151116,0,{'27CPU2Mem8GB.sh': 2},17.264513333333298,0.0671903076499333,0.41113676816360056,0.0,0.9749858381812336,{'01noThrottling.sh': 2},16.59660666666667,0.1339753208061333,0.463227947723344,0.0,0.8653461616148316
commons-exec_dot,8-0-fast,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 6, '26CPU2Mem4GB.sh': 1}",39.49756424191748,0.0886692793508913,0.8768471786022232,0,,,,,,,{'01noThrottling.sh': 8},38.01099833333329,0.3180131193738669,1.0718728236530555,0.0,0.818051506907168
delight-nashorn-sandbox_dot,12-0-fast,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 11}",7.062597695749439,0.0385185709650474,0.17900015346073522,0,,,,,,,{'29CPU4Mem8GB.sh': 12},6.683126666666658,0.0729484135790666,0.20515197864081844,0.0,0.8725246261169627
elastic-job-lite_dot,12-0-cheap,{'01noThrottling.sh': 12},27.361100000000043,0.1291704505048276,0.673809041494732,0,{'27CPU2Mem8GB.sh': 12},34.918862068965524,0.0656814843193792,0.7627450960123021,0.0,0.883400031042434,{'19CPU010Mem1GB.sh': 12},267.19375862068966,0.0329096045921603,5.37612658491411,0.0,0.1253335521126865
elastic-job-lite_elastic-job-lite-core,12-0-cheap,{'26CPU2Mem4GB.sh': 12},17.748876666666668,0.0393423095443332,0.39353299668677993,0,{'27CPU2Mem8GB.sh': 12},17.752103333333334,0.0464669672991999,0.40057969461988263,0.0,0.9824087490510734,{'01noThrottling.sh': 12},17.432470000000013,0.0916549528183999,0.43847125376203216,0.0,0.8975115091589535
esper_examples.rfidassetzone,2-0-cheap,"{'21CPU025Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",22.86405999999999,0.0077044558502945,0.46483156673328846,0,,,,,,,{'19CPU010Mem1GB.sh': 2},71.92085666666665,0.0094427114461766,1.4476709905505862,0.0,0.3210892321303621
fastjson_dot,12-0-cheap,{'26CPU2Mem4GB.sh': 12},11.411689342251949,0.0721843108428651,0.29897441147104675,0,{'27CPU2Mem8GB.sh': 12},11.407262684189558,0.0852270734202289,0.3116677856356155,0.0,0.9592727424854582,{'01noThrottling.sh': 12},10.779126666666656,0.1631743873887997,0.37549343297435683,0.0,0.7962174174467235
fluent-logger-java_dot,12-0-fast,"{'22CPU05Mem2GB.sh': 9, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1}",8.32746333333332,0.0462527792167777,0.21187699029910853,0,{'27CPU2Mem8GB.sh': 12},8.126056666666663,0.1036525895899999,0.2641006711315332,0.0,0.8022584319506895,{'01noThrottling.sh': 12},8.133510000000005,0.2066261783,0.3651638547340001,0.0,0.5802244322715022
http-request_dot,8-0-cheap,{'29CPU4Mem8GB.sh': 8},1.9030466666666672,0.0019789977665333,0.04000035114453598,0,{'27CPU2Mem8GB.sh': 8},2.0721899999999995,0.0013060027679999,0.04272368271263989,0.0,0.9362570968794736,{'01noThrottling.sh': 8},1.936306666666668,0.0023365385325333,0.04101594109521599,0.0,0.9752391405984716
hutool_hutool-cron,2-0-cheap,{'29CPU4Mem8GB.sh': 2},1.6134933333333337,0.0005726075224444,0.032831022038662186,0,{'27CPU2Mem8GB.sh': 2},1.8672266666666668,0.0003475704857333,0.037685152409351975,0.0,0.8711924973007358,{'27CPU2Mem8GB.sh': 2},1.8672266666666668,0.0003475704857333,0.037685152409351975,0.0,0.8711924973007358
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,8-0-fast,"{'27CPU2Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 6}",1061.2560551724137,0.1740905070945258,21.395729800400908,0,{'27CPU2Mem8GB.sh': 8},1061.2632068965518,0.1957439165853103,21.41709317618464,0.0,0.9990025081551456,{'27CPU2Mem8GB.sh': 8},1061.2632068965518,0.1957439165853103,21.41709317618464,0.0,0.9990025081551456
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0-fast,"{'22CPU05Mem2GB.sh': 7, '24CPU1Mem4GB.sh': 2, '26CPU2Mem4GB.sh': 1}",1754.3224060105365,0.2186508526455634,35.30072595580339,0,,,,,,,{'28CPU2Mem16GB.sh': 10},1747.8517275862066,0.7125824103163217,35.65536531383413,0.0,0.9900536888373109
luwak_luwak,12-0-cheap,{'26CPU2Mem4GB.sh': 12},3.90690666666668,0.0227104461917333,0.10039437060123223,0,{'27CPU2Mem8GB.sh': 12},3.880286666666685,0.0268609306904,0.1039294454099257,0.0,0.9659858205270875,{'01noThrottling.sh': 12},3.6501166666666816,0.0515177434264,0.12348972189120563,0.0,0.8129775422903585
