<<<<<<< HEAD
project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,score,period
fastjson_dot,1-0,1,{'26CPU2Mem4GB.sh': 1},35.95278333333348,35.95278333333348,0.29583148552777894,0.0,0,0.2922080192136238,0.1107170581817627
fastjson_dot,1-0.2,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.2730023788999995,0.0,0.010000000000000009,0.28630382547956895,0.10543274879455566
fastjson_dot,1-0.4,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.2730023788999995,0.0,0.010000000000000009,0.28630382547956895,0.10953330993652344
fastjson_dot,1-0.6,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.2730023788999995,0.0,0.010000000000000009,0.28630382547956895,0.10774922370910645
fastjson_dot,1-0.8,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.2730023788999995,0.0,0.010000000000000009,0.28630382547956895,0.10817623138427734
fastjson_dot,1-1,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.2730023788999995,0.0,0.010000000000000009,0.28630382547956895,0.10718774795532227
fastjson_dot,2-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.32558829586653876,0.6489748954772949
fastjson_dot,2-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.32558829586653876,0.6393859386444092
fastjson_dot,2-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.32558829586653876,0.6169359683990479
fastjson_dot,2-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.32558829586653876,0.6795799732208252
fastjson_dot,2-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.32558829586653876,0.6868476867675781
fastjson_dot,2-1,2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",91.19674240854593,78.52036035726391,0.2949136717458904,0.0,0,0.3312708490963208,0.6611485481262207
fastjson_dot,4-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,0.43867058127361835,2.327781915664673
fastjson_dot,4-0.2,3,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",70.3600196717255,44.31078171717171,0.4402847433628957,0.0,0,0.44705967236945077,2.241114377975464
fastjson_dot,4-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,0.43867058127361835,2.3109543323516846
fastjson_dot,4-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,0.43867058127361835,2.202988386154175
fastjson_dot,4-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,0.43867058127361835,2.2952775955200195
fastjson_dot,4-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,0.43867058127361835,2.378641128540039
fastjson_dot,6-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.457165002822876
fastjson_dot,6-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.2590293884277344
fastjson_dot,6-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.26859974861145
fastjson_dot,6-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.105854034423828
fastjson_dot,6-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.099168300628662
fastjson_dot,6-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,0.5517528666806981,3.2771494388580322
fastjson_dot,8-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,0.6648351520877777,4.450292348861694
fastjson_dot,8-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661423,44.58897505050505,0.6597166126886704,0.0,0,0.6648351520877777,3.700148105621338
fastjson_dot,8-0.4,3,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 6}",98.18692816670878,44.31078171717171,0.6692538220957831,0.0,0,0.6732242431836101,3.533275842666626
fastjson_dot,8-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,0.6648351520877777,3.4679715633392334
fastjson_dot,8-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,0.6648351520877777,3.035405158996582
fastjson_dot,8-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,0.6648351520877777,3.350412130355835
fastjson_dot,10-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,0.7779174374948571,3.37321400642395
fastjson_dot,10-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,0.7779174374948571,3.7144508361816406
fastjson_dot,10-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,0.7779174374948571,3.5109009742736816
fastjson_dot,10-0.6,3,"{'27CPU2Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 8}",146.33467199478775,78.01241369059723,0.762359926475976,0.0,0,0.7917847821209149,4.137550354003906
fastjson_dot,10-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,0.7779174374948571,4.116256952285767
fastjson_dot,10-1,2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 9}",146.85055939851244,78.52036035726391,0.7528518292116648,0.0,0,0.7835999907246392,4.319405555725098
fastjson_dot,12-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019366,4.105036497116089
fastjson_dot,12-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019366,3.4795308113098145
fastjson_dot,12-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019366,4.393620729446411
fastjson_dot,12-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.2830667115975,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019367,3.910029888153076
fastjson_dot,12-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.2830667115975,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019367,3.665982246398926
fastjson_dot,12-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,0.8909997229019366,4.1547627449035645
=======
project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,period
fastjson_dot,1-0,1,{'26CPU2Mem4GB.sh': 1},35.95278333333348,35.95278333333348,0.29583148552777894,0.0,0,0.17243170738220215
fastjson_dot,1-0.2,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.27300237889999945,0.0,0.010000000000000009,0.16392993927001953
fastjson_dot,1-0.4,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.27300237889999945,0.0,0.010000000000000009,0.18650007247924805
fastjson_dot,1-0.6,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.27300237889999945,0.0,0.010000000000000009,0.16494321823120117
fastjson_dot,1-0.8,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.27300237889999945,0.0,0.010000000000000009,0.1723949909210205
fastjson_dot,1-1,1,{'24CPU1Mem4GB.sh': 1},56.231179999999895,56.231179999999895,0.27300237889999945,0.0,0.010000000000000009,0.16959547996520996
fastjson_dot,2-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,1.389031171798706
fastjson_dot,2-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,1.0337071418762207
fastjson_dot,2-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.932866096496582
fastjson_dot,2-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,1.450636386871338
fastjson_dot,2-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.715795474139334,44.58897505050505,0.31626299458933943,0.0,0,0.9892642498016357
fastjson_dot,2-1,2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",91.19674240854593,78.52036035726391,0.29491367174589034,0.0,0,1.4069559574127197
fastjson_dot,4-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,3.8448598384857178
fastjson_dot,4-0.2,3,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",70.3600196717255,44.31078171717171,0.4402847433628956,0.0,0,4.06155800819397
fastjson_dot,4-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,3.8545799255371094
fastjson_dot,4-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,4.0875067710876465
fastjson_dot,4-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.430747533955783,0.0,0,3.73449969291687
fastjson_dot,4-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",70.62924972163097,44.58897505050505,0.43074753395578314,0.0,0,3.9785804748535156
fastjson_dot,6-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,5.87060809135437
fastjson_dot,6-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222268,0.0,0,5.588378429412842
fastjson_dot,6-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,5.5661375522613525
fastjson_dot,6-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222268,0.0,0,5.423891305923462
fastjson_dot,6-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222268,0.0,0,5.785200119018555
fastjson_dot,6-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5}",84.54270396912261,44.58897505050505,0.5452320733222269,0.0,0,5.230863332748413
fastjson_dot,8-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,5.8680009841918945
fastjson_dot,8-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661423,44.58897505050505,0.6597166126886704,0.0,0,5.640026807785034
fastjson_dot,8-0.4,3,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 6}",98.18692816670878,44.31078171717171,0.669253822095783,0.0,0,6.452552080154419
fastjson_dot,8-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,5.8817267417907715
fastjson_dot,8-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,5.542133092880249
fastjson_dot,8-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 7}",98.45615821661424,44.58897505050505,0.6597166126886704,0.0,0,5.984209299087524
fastjson_dot,10-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,5.930828809738159
fastjson_dot,10-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,6.424188137054443
fastjson_dot,10-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,6.119544506072998
fastjson_dot,10-0.6,3,"{'27CPU2Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 8}",146.33467199478775,78.01241369059723,0.762359926475976,0.0,0,6.121990203857422
fastjson_dot,10-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 9}",112.36961246410587,44.58897505050505,0.774201152055114,0.0,0,6.5145180225372314
fastjson_dot,10-1,2,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 9}",146.85055939851244,78.52036035726391,0.7528518292116647,0.0,0,7.723261594772339
fastjson_dot,12-0,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,7.445987701416016
fastjson_dot,12-0.2,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215574,0.0,0,6.093534469604492
fastjson_dot,12-0.4,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215574,0.0,0,7.802736282348633
fastjson_dot,12-0.6,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.2830667115975,44.58897505050505,0.8886856914215575,0.0,0,6.690531492233276
fastjson_dot,12-0.8,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.2830667115975,44.58897505050505,0.8886856914215575,0.0,0,6.9110023975372314
fastjson_dot,12-1,2,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 11}",126.28306671159748,44.58897505050505,0.8886856914215575,0.0,0,7.490354061126709
>>>>>>> 6668f0b8d63500d4320a9af8132251db505fb246
