project,github_caliber_avg_runtime_rate,github_caliber_avg_price_rate,github_caliber_avg_max_failrate_rate,smart_baseline_avg_runtime_rate,smart_baseline_avg_price_rate,smart_baseline_avg_max_failrate_rate
activiti_dot,0.5432883769265441,1.7387508034354222,0.1899999999999999,0.20973138036568215,1.8270597650268134,0.1827586206896552
assertj-core_dot,0.6814210955010769,1.4758738132853708,0.0758620689655172,0.6814210955010769,1.4758738132853708,0.0758620689655172
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,0.9749162373488377,1.6523039697189186,0.0,0.6260580254314555,4.244213486515753,0.0
commons-exec_dot,1.102320606059556,1.9925063485527805,0.0016666666666667,0.8869754691335915,2.3515412624979644,0.0
db-scheduler_dot,0.9438597531467288,1.5837583899397487,0.0133333333333333,0.7705447414502598,2.126583378750916,0.0033333333333332
delight-nashorn-sandbox_dot,0.6167934929997031,1.364001035209925,0.0033333333333332,0.5781576792841456,0.9045758038353643,0.0
elastic-job-lite_dot,0.8986543844590811,1.436328924500674,0.0,0.0923008961543717,2.123086018772565,0.0
elastic-job-lite_elastic-job-lite-core,0.8469023848122813,1.822264677368563,0.0,0.10756785932911406,1.8050918367249214,0.0
esper_examples.rfidassetzone,0.9495387950283604,1.8990775900567212,0.0633333333333333,0.13373714049426566,2.3851684047731565,0.0
fastjson_dot,0.6709344250160524,1.6489137296449219,0.0,0.6281637047533523,1.9461791951014151,0.0
fluent-logger-java_dot,0.4696797484999526,1.6962830938954447,0.0,0.5034003738506152,3.744639389634202,0.0
handlebars.java_dot,0.8805476169116624,1.5297978199670366,0.0103448275862069,0.2390232829625783,1.484257023106105,0.0034482758620689004
hbase_dot,0.5191057151063218,0.7426502219394855,0.4754716981132075,0.5502792546465883,0.4693281176255924,0.4531835205992509
http-request_dot,0.8876562479844173,1.549382968488164,0.0,0.4681927147947151,1.2774096065687266,0.0
httpcore_dot,0.7748091979607554,1.4106270502284537,0.0379310344827585,0.9098644844098052,1.7407045751111325,0.0172413793103448
hutool_hutool-cron,0.8636899870379238,1.5948499728560364,0.0,0.8642396304731678,1.8837897846250302,0.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,0.991793201541745,1.634779009046975,0.0,0.991793201541745,1.634779009046975,0.0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,0.9876154587867731,1.7940217954225477,0.0034482758620689004,0.9618577637152363,10.737096698527521,0.0
logback_dot,0.8420127720793851,0.4248249920185326,0.0166666666666667,0.8413019374503985,0.5012130065447373,0.01
luwak_luwak,0.5601209452340806,1.7048037417134065,0.0,0.3667349150577828,2.0995829841786526,0.0
ninja_dot,1.0036918364035732,1.725867879719871,0.9,0.0595201354796639,1.225041990047617,0.9
noxy_noxy-discovery-zookeeper,0.8998318712874501,1.7996637425749002,0.0,0.1286027068271082,1.5765162966327877,0.0
okhttp_dot,0.8991508767438937,1.9045093372678297,0.5714285714285714,0.7858540571311657,3.1898393547324964,0.4399999999999999
orbit_dot,0.9808153296376506,1.6837754137707974,0.0733333333333333,1.0393361350983477,1.2897132225540535,0.04
retrofit_retrofit-adapters.rxjava,0.9805143114216955,1.5765041278252134,0.0,0.06374569489040575,0.9597032583536981,0.0
retrofit_retrofit,0.8897713521896968,1.7578732181402454,0.0033333333333332,0.0352206759244072,0.9739172917209568,0.0
rxjava2-extras_dot,0.5112679078116544,1.6539923669943317,0.0066666666666667,0.10720557071553527,1.9381853436960554,0.0033333333333332
spring-boot_dot,0.8967136433011756,1.4760683165266937,0.0,0.048416569516617,0.9832813952831361,0.0
timely_server,0.7068826642922844,1.6262599850418291,0.0066666666666667,0.8363490451186012,1.1255682127736706,0.0033333333333332
wro4j_wro4j-extensions,0.5197073147994351,1.4438752710931329,0.0033333333333332,0.021586494340869386,0.8684834471678214,0.0
yawp_yawp-testing.yawp-testing-appengine,0.9231186268465172,1.564516533038535,0.06,0.9350228680488613,1.870045736097723,0.0166666666666667
zxing_dot,0.8664115055268071,1.9279643609426287,0.0344827586206896,0.8664115055268071,1.9279643609426287,0.0344827586206896
