project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_baseline_conf,cheapest_github_baseline_runtime,cheapest_github_baseline_price,cheapest_github_baseline_max_failure_rate,cheapest_github_baseline_runtime_rate,cheapest_github_baseline_price_rate,cheapest_smart_baseline_conf,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_baseline_conf,fastest_github_baseline_runtime,fastest_github_baseline_price,fastest_github_baseline_max_failure_rate,fastest_github_baseline_runtime_rate,fastest_github_baseline_price_rate,fastest_smart_baseline_conf,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
fastjson_dot,2-0,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",78.52036035726393,0.2949136717458903,0.0,27CPU2Mem8GB.sh,21.46103240129288,0.4167731703190619,0.0,3.6587410563032194,0.7076119403754283,26CPU2Mem4GB.sh,21.45481100334454,0.3530737552110004,0.0,3.6598020064135532,0.8352749741187842,8-0,"{'29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 2}",9.661486666666656,1.3022267508732757,0.0,27CPU2Mem8GB.sh,10.683516586309214,0.8210709654334211,0.0,0.9043358138319104,1.5860099865860748,29CPU4Mem8GB.sh,9.82593246376806,1.251955865998061,0.0,0.9832641026479901,1.0401538794142224
commons-exec_dot,2-0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",91.08785953608248,0.3195105897949961,0.0,27CPU2Mem8GB.sh,42.12738836393988,0.8072391510471901,0.0016666666666667,2.1622004846151746,0.39580660747253316,26CPU2Mem4GB.sh,42.12495666666666,0.6839898629111119,0.0,2.1623252993909903,0.46712766828902286,4-0,"{'22CPU05Mem2GB.sh': 1, '27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 2}",38.00900666666662,1.855470357908901,0.0,27CPU2Mem8GB.sh,38.126145030606565,1.3531962980749028,0.0016666666666667,0.9969276105977694,1.3711760522464835,01noThrottling.sh,38.00900666666662,2.697335850799998,0.0,1.0,0.6878899998154069
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0,{'27CPU2Mem8GB.sh': 1},1091.7620689655168,10.601009689655168,0.0,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,1.0,0.9999999999999998,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,1.0,0.9999999999999998,4-0,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2}",1061.2560551724137,58.65046769208309,0.0,27CPU2Mem8GB.sh,1061.5292137931033,41.22387025789655,0.0,0.9997426744199402,1.4227307461712289,27CPU2Mem8GB.sh,1061.5292137931033,41.22387025789655,0.0,0.9997426744199402,1.4227307461712289
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0,{'21CPU025Mem2GB.sh': 1},1910.806896551724,3.027036591954022,0.0,27CPU2Mem8GB.sh,1852.3000000000009,17.98583300000001,0.0034482758620689,1.0315860803064965,0.16830116191749475,21CPU025Mem2GB.sh,1910.806896551724,3.0270365919540225,0.0,1.0,0.9999999999999999,6-0,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '01noThrottling.sh': 1}",1747.6190081493855,94.77694809605715,0.0,27CPU2Mem8GB.sh,1747.7194466292806,101.3787330164378,0.0034482758620689,0.9999425316917491,0.9348799819848782,26CPU2Mem4GB.sh,1747.655068965517,85.90566683859194,0.0,0.9999793661708355,1.1032677072879657
rxjava2-extras_dot,2-0,"{'28CPU2Mem16GB.sh': 1, '22CPU05Mem2GB.sh': 1}",80.02340878483838,0.2419225577973055,0.0,27CPU2Mem8GB.sh,26.901109007803868,0.5224192480973195,0.0066666666666667,2.974725271051986,0.4630812487832352,22CPU05Mem2GB.sh,46.57264666666666,0.2261098972251952,0.0033333333333332,1.7182491121363168,1.069933518020052,6-0,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",11.927884116331144,0.8643481477897026,0.0,27CPU2Mem8GB.sh,13.360118269548828,0.6481899626199302,0.0066666666666667,0.89279779382776,1.3334796859489753,23CPU05Mem4GB.sh,23.684377748049044,0.4457838306586771,0.0033333333333332,0.5036182180177261,1.9389401058189284
hutool_hutool-cron,1-0,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0153863524944444,0.0,27CPU2Mem8GB.sh,1.8711133333333336,0.0181685104666666,0.0,0.9993640150071075,0.8468692313920522,26CPU2Mem4GB.sh,1.8699233333333325,0.0153863524944444,0.0,1.0,1.0,2-0,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",1.6124644370122616,0.0562778353001114,0.0,27CPU2Mem8GB.sh,1.866666666666667,0.0352926133333333,0.0,0.8638202341137114,1.5946066325147392,29CPU4Mem8GB.sh,1.6128300000000004,0.0515055816333333,0.0,0.9997733406572678,1.0926550776720014
elastic-job-lite_dot,1-0,{'22CPU05Mem2GB.sh': 1},84.17931034482753,0.2043452758620688,0.0,27CPU2Mem8GB.sh,46.9165965517243,0.4555601525172429,0.0,1.7942330972798097,0.4485582743199524,22CPU05Mem2GB.sh,84.17931034482753,0.2043452758620688,0.0,1.0,1.0,4-0,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",27.07895172413797,1.7868777543678185,0.0,27CPU2Mem8GB.sh,34.632137931034485,1.1724410148620696,0.0,0.7819023988083632,1.5240662273982573,01noThrottling.sh,27.07895172413797,1.7563729255172456,0.0,1.0,1.0173680819189292
elastic-job-lite_elastic-job-lite-core,1-0,{'22CPU05Mem2GB.sh': 1},42.11553333333326,0.1022354571666664,0.0,27CPU2Mem8GB.sh,23.09954666666668,0.2242965981333334,0.0,1.8232190415280836,0.4558047603820206,22CPU05Mem2GB.sh,42.11553333333326,0.1022354571666664,0.0,1.0,1.0,2-0,{'01noThrottling.sh': 2},17.149936666666676,0.5768009290666674,0.0,27CPU2Mem8GB.sh,17.46553,0.2965952514000002,0.0,0.9819305034926896,1.94474094357219,01noThrottling.sh,17.149936666666676,0.5768009290666675,0.0,1.0,0.9999999999999998
luwak_luwak,1-0,{'24CPU1Mem4GB.sh': 1},16.522196666666655,0.0802152648166665,0.0,27CPU2Mem8GB.sh,10.777793333333353,0.1046523732666668,0.0,1.5329851070318004,0.7664925535158996,24CPU1Mem4GB.sh,16.522196666666655,0.0802152648166666,0.0,1.0,0.9999999999999988,8-0,"{'24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1}",3.477128434004486,0.2449219109321206,0.0,27CPU2Mem8GB.sh,3.7118633333333513,0.2148727518333346,0.0,0.9367608992440821,1.1398462989951073,01noThrottling.sh,3.5027600000000163,0.391426153866669,0.0,0.9926824658282241,0.6257167757255895
fluent-logger-java_dot,2-0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",63.39913654091488,0.0850418180534993,0.0,27CPU2Mem8GB.sh,17.910466666666665,0.3455086319666666,0.0,3.539781387098506,0.24613514738961376,22CPU05Mem2GB.sh,24.072686666666694,0.1164840001750002,0.0,2.6336543743039402,0.7300729535879296,8-0,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 3, '25CPU1Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",8.125366666666668,0.3105592688055559,0.0,27CPU2Mem8GB.sh,8.126056666666663,0.3455086319666666,0.0,0.9999150879659964,0.8988466280504318,29CPU4Mem8GB.sh,8.125366666666668,0.5818410838333337,0.0,1.0,0.5337527332368893
