project,github_caliber_avg_runtime_rate,github_caliber_avg_price_rate,smart_baseline_avg_runtime_rate,smart_baseline_avg_price_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,4.548235742731361,0.37748247674108604,1.0,1.0
commons-exec_dot,1.9273612477407376,0.1404829992882087,1.0,1.0
delight-nashorn-sandbox_dot,0.9623764784198636,0.815525690689816,1.0,1.0
elastic-job-lite_dot,1.7942330972798095,0.4485582743199524,1.0,1.0
elastic-job-lite_elastic-job-lite-core,1.823219041528084,0.4558047603820206,1.0,1.0
esper_examples.rfidassetzone,2.170604461295739,0.5426511153239348,1.0,1.0
fastjson_dot,3.02917524648996,0.7227815910057606,1.0,0.9999999999999997
fluent-logger-java_dot,7.932969218856484,0.239333576099674,8.343694759677215,0.6128169433150447
http-request_dot,0.9998109640831752,0.8472479796908022,1.0,1.0
hutool_hutool-cron,0.9993640150071076,0.8468692313920522,1.0,1.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1.0896868186302229,0.23394447434454582,1.0,1.0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1.0930139044282312,0.0796684439607703,1.0,1.0
luwak_luwak,2.5436153494211404,0.6997782168149431,1.0,1.0
noxy_noxy-discovery-zookeeper,1.0095046548285167,0.8554624924284909,1.0,1.0
retrofit_retrofit-adapters.rxjava,2.709541576405765,0.6773853941014408,1.0,1.0
retrofit_retrofit,1.0219225867590338,0.8659855494042841,1.0,1.0
rxjava2-extras_dot,4.695169133362736,0.3742042819562127,2.7120051297635865,0.8645863007918726
spring-boot_dot,3.0992529765734598,0.7975746426787559,1.0,1.0
wro4j_wro4j-extensions,1.0013578632870463,0.8485588347147524,1.0,1.0
