project,github_baseline_tradeoff,smart_baseline_tradeoff
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1.4018401089542554,0.8983625234687783
commons-exec_dot,1.0924800926355407,0.5437575121547802
delight-nashorn-sandbox_dot,1.4406012099058672,1.010990157887593
elastic-job-lite_dot,1.1638290801060172,0.9935985016116117
elastic-job-lite_elastic-job-lite-core,1.6562569609448385,0.8673316753646159
esper_examples.rfidassetzone,1.651962232748834,0.9261153302688976
fastjson_dot,1.3937521182647759,0.9944292800859735
fluent-logger-java_dot,1.0044441522474212,0.5965092622340478
http-request_dot,1.4224210029318756,1.0
hutool_hutool-cron,1.377453474618159,0.9258594324492757
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1.5096801240100919,0.9622429140768531
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1.06640070314525,0.5332726789983934
luwak_luwak,1.2656943251077009,0.8424190199315742
noxy_noxy-discovery-zookeeper,1.4130137052973064,0.8858151348972391
retrofit_retrofit-adapters.rxjava,1.4039449726261373,0.9596200495141257
retrofit_retrofit,1.4760853491545483,0.9433677392489246
rxjava2-extras_dot,1.0561580064443,0.7508012590801287
spring-boot_dot,1.3159283225194032,1.0
wro4j_wro4j-extensions,1.1523200188548846,1.0504082203915603
