project_fr,incl_category,incl_confs,excl_category,excl_confs
activiti_dot-0.2,12-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 11}",12-0.2-fast,"{'27CPU2Mem8GB.sh': 3, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 5}"
assertj-core_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 1}"
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension-0.2,2-0.2-fast,{'29CPU4Mem8GB.sh': 2},2-0.2-fast,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,"{'27CPU2Mem8GB.sh': 8, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}"
db-scheduler_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},6-0.2-fast,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'29CPU4Mem8GB.sh': 9, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 2}"
elastic-job-lite_dot-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 1}"
elastic-job-lite_elastic-job-lite-core-0.2,12-0.2-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",12-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 1}"
esper_examples.rfidassetzone-0.2,2-0.2-fast,{'01noThrottling.sh': 2},2-0.2-fast,{'01noThrottling.sh': 2}
fastjson_dot-0.2,12-0.2-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}",12-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 5, '26CPU2Mem4GB.sh': 2}"
fluent-logger-java_dot-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},6-0.2-fast,{'29CPU4Mem8GB.sh': 6}
handlebars.java_dot-0.2,8-0.2-fast,{'29CPU4Mem8GB.sh': 8},12-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}"
hbase_dot-0.2,,,,
http-request_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'28CPU2Mem16GB.sh': 6, '29CPU4Mem8GB.sh': 4, '26CPU2Mem4GB.sh': 2}"
httpcore_dot-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,"{'27CPU2Mem8GB.sh': 5, '01noThrottling.sh': 7}"
hutool_hutool-cron-0.2,4-0.2-fast,{'01noThrottling.sh': 4},4-0.2-fast,{'01noThrottling.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,{'28CPU2Mem16GB.sh': 12}
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 3, '26CPU2Mem4GB.sh': 4, '28CPU2Mem16GB.sh': 2, '01noThrottling.sh': 2}"
logback_dot-0.2,6-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '28CPU2Mem16GB.sh': 1}",12-0.2-fast,"{'19CPU010Mem1GB.sh': 2, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 1}"
luwak_luwak-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 3}"
ninja_dot-0.2,,,,
noxy_noxy-discovery-zookeeper-0.2,2-0.2-fast,{'01noThrottling.sh': 2},2-0.2-fast,{'01noThrottling.sh': 2}
okhttp_dot-0.2,,,,
orbit_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 3, '29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 1}"
retrofit_retrofit-adapters.rxjava-0.2,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},6-0.2-fast,{'26CPU2Mem4GB.sh': 6}
retrofit_retrofit-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,"{'29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 7}"
rxjava2-extras_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 2, '26CPU2Mem4GB.sh': 1}"
spring-boot_dot-0.2,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
timely_server-0.2,12-0.2-fast,{'01noThrottling.sh': 12},12-0.2-fast,{'29CPU4Mem8GB.sh': 12}
wro4j_wro4j-extensions-0.2,12-0.2-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}",12-0.2-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}"
yawp_yawp-testing.yawp-testing-appengine-0.2,1-0.2-fast,{'29CPU4Mem8GB.sh': 1},1-0.2-fast,{'01noThrottling.sh': 1}
zxing_dot-0.2,12-0.2-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}",12-0.2-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}"
activiti_dot-0.4,12-0.4-fast,{'01noThrottling.sh': 12},12-0.4-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}"
assertj-core_dot-0.4,12-0.4-fast,{'29CPU4Mem8GB.sh': 12},12-0.4-fast,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 3}"
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension-0.4,2-0.4-fast,{'29CPU4Mem8GB.sh': 2},2-0.4-fast,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot-0.4,12-0.4-fast,{'01noThrottling.sh': 12},12-0.4-fast,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 5, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1}"
db-scheduler_dot-0.4,6-0.4-fast,{'29CPU4Mem8GB.sh': 6},6-0.4-fast,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot-0.4,12-0.4-fast,{'29CPU4Mem8GB.sh': 12},12-0.4-fast,"{'29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 5}"
elastic-job-lite_dot-0.4,12-0.4-fast,{'01noThrottling.sh': 12},12-0.4-fast,"{'19CPU010Mem1GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}"
elastic-job-lite_elastic-job-lite-core-0.4,12-0.4-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",12-0.4-fast,"{'19CPU010Mem1GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 3, '26CPU2Mem4GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 1}"
