project,ga_confs,ga_runtime,ga_price,ga_max_failure_rate,bf_confs,bf_runtime,bf_price,bf_max_failure_rate,runtime_rate,price_rate
activiti_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",871.8394377331,0.298684041174643,0.8851851851851852,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",871.8394377331,0.298684041174643,0.8851851851851852,1.0,1.0
assertj-core_dot,"{'19CPU010Mem1GB.sh': 1, '29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1}",149.60170780059497,0.0054366543320347,0.8034482758620689,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '29CPU4Mem8GB.sh': 1}",149.4995319385258,0.005427523437851,0.8034482758620689,1.0006834527221877,1.0016823315989798
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,{'19CPU010Mem1GB.sh': 1},140.3766666666667,0.0077304469832931,0.01,{'19CPU010Mem1GB.sh': 1},140.3766666666667,0.0077304469832931,0.01,1.0,1.0
commons-exec_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",93.17937,0.0143654630043542,0.03,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",93.17937,0.0143654630043542,0.03,1.0,1.0
db-scheduler_dot,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",60.31166750582751,0.0038509968658061,0.2666666666666667,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",60.31166750582751,0.0038509968658061,0.2666666666666667,1.0,1.0
delight-nashorn-sandbox_dot,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",11.25242,0.0377772285382461,0.3233333333333333,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",11.25242,0.0377772285382461,0.3233333333333333,1.0,1.0
elastic-job-lite_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",247.9500103448277,0.0181735257739709,0.0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",247.9500103448277,0.0181735257739709,0.0,1.0,1.0
elastic-job-lite_elastic-job-lite-core,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",94.38041666666668,0.0116793499374408,0.0033333333333332,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",94.38041666666668,0.0116793499374408,0.0033333333333332,1.0,1.0
esper_examples.rfidassetzone,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.175896666666645,0.0067910030445495,0.0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.175896666666645,0.0067910030445495,0.0,1.0,1.0
fastjson_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",208.14717482526547,0.046446712638084,0.0899999999999999,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",208.14717482526547,0.046446712638084,0.0899999999999999,1.0,1.0
fluent-logger-java_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",82.20715913978495,0.0158605550723618,0.41,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",82.20715913978495,0.0158605550723618,0.41,1.0,1.0
