project,ga_confs,ga_runtime,ga_price,ga_max_failure_rate,bf_confs,bf_runtime,bf_price,bf_max_failure_rate,runtime_rate,price_rate,is_the_same
http-request_dot,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",3.908308695652172,0.0009402715623285,0.0,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",3.908308695652172,0.0009402715623285,0.0,1.0,1.0,True
httpcore_dot,,,,,,,,,,,False
hutool_hutool-cron,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0002824980473444,0.0,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0002824980473444,0.0,1.0,1.0,True
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,"{'19CPU010Mem1GB.sh': 1, '27CPU2Mem8GB.sh': 1}",1188.993517330668,0.0517507769156261,0.0,"{'19CPU010Mem1GB.sh': 1, '27CPU2Mem8GB.sh': 1}",1188.993517330668,0.0517507769156261,0.0,1.0,1.0,True
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1}",1967.098479273188,0.0442436551519811,0.0,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1}",1967.098479273188,0.0442436551519811,0.0,1.0,1.0,True
logback_dot,,,,,,,,,,,False
luwak_luwak,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.158884741453754,0.0136023388850346,0.0,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.158884741453754,0.0136023388850346,0.0,1.0,1.0,True
ninja_dot,,,,,,,,,,,False
noxy_noxy-discovery-zookeeper,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",47.17919096045204,0.0387135768174469,0.0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",47.17919096045204,0.0387135768174469,0.0,1.0,1.0,True
okhttp_dot,,,,,,,,,,,False
orbit_dot,,,,,,,,,,,False
retrofit_retrofit-adapters.rxjava,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",46.40236000000001,0.0016678873179352,0.0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",46.40236000000001,0.0016678873179352,0.0,1.0,1.0,True
retrofit_retrofit,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",8.017243333333328,0.0046836739054555,0.0,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",8.017243333333328,0.0046836739054555,0.0,1.0,1.0,True
rxjava2-extras_dot,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '28CPU2Mem16GB.sh': 1}",104.809558717949,0.0350821111529191,0.0,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '28CPU2Mem16GB.sh': 1}",104.809558717949,0.0350821111529191,0.0,1.0,1.0,True
spring-boot_dot,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",478.1297068965525,0.1342744193457916,0.0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",478.1297068965525,0.1342744193457916,0.0,1.0,1.0,True
timely_server,,,,,,,,,,,False
wro4j_wro4j-extensions,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",33.32172,0.1009046575780916,0.0,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",33.32172,0.1009046575780916,0.0,1.0,1.0,True
yawp_yawp-testing.yawp-testing-appengine,,,,,,,,,,,False
zxing_dot,,,,,,,,,,,False
