project_fr,ga_category,ga_confs,bf_category,bf_confs
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-1,12-1-fast,{'01noThrottling.sh': 12},6-1-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 4, '26CPU2Mem4GB.sh': 1}"
logback_dot-1,10-1-fast,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 2, '27CPU2Mem8GB.sh': 2}",4-1-fast,"{'01noThrottling.sh': 2, '24CPU1Mem4GB.sh': 2}"
luwak_luwak-1,12-1-fast,{'29CPU4Mem8GB.sh': 12},6-1-fast,{'29CPU4Mem8GB.sh': 6}
ninja_dot-1,12-1-fast,{'01noThrottling.sh': 12},6-1-fast,{'01noThrottling.sh': 6}
noxy_noxy-discovery-zookeeper-1,2-1-fast,{'01noThrottling.sh': 2},2-1-fast,{'01noThrottling.sh': 2}
okhttp_dot-1,12-1-fast,{'01noThrottling.sh': 12},6-1-fast,{'01noThrottling.sh': 6}
orbit_dot-1,12-1-fast,{'29CPU4Mem8GB.sh': 12},6-1-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-adapters.rxjava-1,6-1-fast,{'29CPU4Mem8GB.sh': 6},6-1-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-1,12-1-fast,{'01noThrottling.sh': 12},6-1-fast,{'01noThrottling.sh': 6}
rxjava2-extras_dot-1,12-1-fast,{'29CPU4Mem8GB.sh': 12},6-1-fast,{'29CPU4Mem8GB.sh': 6}
spring-boot_dot-1,12-1-fast,{'29CPU4Mem8GB.sh': 12},6-1-fast,{'29CPU4Mem8GB.sh': 6}
timely_server-1,12-1-fast,{'01noThrottling.sh': 12},6-1-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}"
wro4j_wro4j-extensions-1,12-1-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}",6-1-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 5}"
yawp_yawp-testing.yawp-testing-appengine-1,1-1-fast,{'29CPU4Mem8GB.sh': 1},1-1-fast,{'29CPU4Mem8GB.sh': 1}
zxing_dot-1,12-1-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}",6-1-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}"
