project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
activiti_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",865.43,0.30,0.41,{'27CPU2Mem8GB.sh': 4},92.19,0.72,0.19,9.39,0.58,{'23CPU05Mem4GB.sh': 4},252.17,0.53,0.18,3.43,0.43,6-0.8-fast,{'01noThrottling.sh': 6},68.33,1.38,0.30,{'27CPU2Mem8GB.sh': 6},74.15,0.72,0.19,0.08,1.91,{'23CPU05Mem4GB.sh': 6},205.14,0.53,0.18,0.67,2.60
assertj-core_dot,4-0.8-cheap,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",22.97,0.01,0.12,{'27CPU2Mem8GB.sh': 4},6.35,0.01,0.08,3.62,0.45,{'27CPU2Mem8GB.sh': 4},6.35,0.01,0.08,3.62,0.45,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},5.27,0.01,0.12,{'27CPU2Mem8GB.sh': 6},6.19,0.01,0.08,0.15,0.62,{'27CPU2Mem8GB.sh': 6},6.19,0.01,0.08,0.15,0.62
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1-0.8-cheap,{'19CPU010Mem1GB.sh': 1},140.38,0.01,0.01,{'27CPU2Mem8GB.sh': 1},27.28,0.07,0.00,5.15,0.88,{'01noThrottling.sh': 1},26.61,0.13,0.00,5.28,0.94,2-0.8-fast,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",16.58,0.09,0.00,{'27CPU2Mem8GB.sh': 2},17.26,0.07,0.00,0.04,1.32,{'01noThrottling.sh': 2},16.60,0.13,0.00,0.00,0.66
commons-exec_dot,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",93.18,0.01,0.03,{'27CPU2Mem8GB.sh': 2},42.14,0.16,0.00,2.21,0.91,{'01noThrottling.sh': 2},42.02,0.31,0.00,2.22,0.95,6-0.8-fast,{'01noThrottling.sh': 6},38.01,0.32,0.00,{'27CPU2Mem8GB.sh': 6},38.13,0.16,0.00,0.00,2.00,{'01noThrottling.sh': 6},38.01,0.32,0.00,0.00,1.00
db-scheduler_dot,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",60.31,0.00,0.27,{'27CPU2Mem8GB.sh': 2},12.32,0.03,0.01,4.90,0.88,{'28CPU2Mem16GB.sh': 2},12.24,0.04,0.00,4.93,0.91,6-0.8-fast,"{'29CPU4Mem8GB.sh': 5, '22CPU05Mem2GB.sh': 1}",12.00,0.05,0.01,{'27CPU2Mem8GB.sh': 6},12.25,0.03,0.01,0.02,1.70,{'28CPU2Mem16GB.sh': 6},12.17,0.04,0.00,0.01,1.29
delight-nashorn-sandbox_dot,4-0.8-cheap,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",11.25,0.04,0.32,{'27CPU2Mem8GB.sh': 4},9.09,0.05,0.00,1.24,0.19,{'29CPU4Mem8GB.sh': 4},8.40,0.07,0.00,1.34,0.48,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},7.57,0.07,0.00,{'27CPU2Mem8GB.sh': 6},8.16,0.05,0.00,0.07,1.56,{'29CPU4Mem8GB.sh': 6},7.57,0.07,0.00,0.00,1.00
elastic-job-lite_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",247.95,0.02,0.00,{'27CPU2Mem8GB.sh': 4},35.86,0.06,0.00,6.92,0.72,{'19CPU010Mem1GB.sh': 4},283.58,0.03,0.00,0.87,0.42,6-0.8-fast,{'01noThrottling.sh': 6},27.81,0.13,0.00,{'27CPU2Mem8GB.sh': 6},35.36,0.06,0.00,0.21,1.98,{'19CPU010Mem1GB.sh': 6},273.81,0.03,0.00,0.90,3.98
elastic-job-lite_elastic-job-lite-core,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",94.38,0.01,0.00,{'27CPU2Mem8GB.sh': 4},18.70,0.05,0.00,5.05,0.75,{'01noThrottling.sh': 4},18.35,0.09,0.00,5.14,0.87,6-0.8-fast,{'01noThrottling.sh': 6},17.88,0.09,0.00,{'27CPU2Mem8GB.sh': 6},18.20,0.05,0.00,0.02,1.97,{'01noThrottling.sh': 6},17.88,0.09,0.00,0.00,1.00
esper_examples.rfidassetzone,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.18,0.01,0.00,{'27CPU2Mem8GB.sh': 2},7.19,0.02,0.06,7.67,0.65,{'19CPU010Mem1GB.sh': 2},71.92,0.01,0.00,0.77,0.28,4-0.8-fast,"{'01noThrottling.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",6.88,0.03,0.09,{'27CPU2Mem8GB.sh': 4},7.19,0.02,0.06,0.04,1.68,{'19CPU010Mem1GB.sh': 4},71.92,0.01,0.00,0.90,3.46
fastjson_dot,6-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",208.15,0.05,0.09,{'27CPU2Mem8GB.sh': 6},13.38,0.08,0.00,15.55,0.45,{'01noThrottling.sh': 6},12.53,0.16,0.00,16.61,0.71,6-0.8-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12.03,0.14,0.00,{'27CPU2Mem8GB.sh': 6},13.38,0.08,0.00,0.10,1.68,{'01noThrottling.sh': 6},12.53,0.16,0.00,0.04,0.88
fluent-logger-java_dot,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",82.21,0.02,0.41,{'27CPU2Mem8GB.sh': 2},18.08,0.10,0.00,4.55,0.85,{'01noThrottling.sh': 2},17.97,0.21,0.00,4.58,0.92,6-0.8-fast,"{'21CPU025Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",8.13,0.13,0.00,{'27CPU2Mem8GB.sh': 6},8.13,0.10,0.00,0.00,1.24,{'01noThrottling.sh': 6},8.13,0.21,0.00,0.00,0.62
handlebars.java_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",112.95,0.01,0.03,{'27CPU2Mem8GB.sh': 4},5.69,0.01,0.01,19.84,0.39,{'22CPU05Mem2GB.sh': 4},22.44,0.01,0.00,5.03,0.23,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},5.23,0.01,0.02,{'27CPU2Mem8GB.sh': 6},5.69,0.01,0.01,0.08,1.55,{'22CPU05Mem2GB.sh': 6},21.92,0.01,0.00,0.76,1.97
hbase_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 1}",4329.13,0.50,0.74,{'27CPU2Mem8GB.sh': 4},1973.30,7.76,0.48,2.19,0.94,{'29CPU4Mem8GB.sh': 4},1749.38,13.87,0.45,2.47,0.96,8-0.8-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 6, '01noThrottling.sh': 1}",840.16,1.09,0.71,{'27CPU2Mem8GB.sh': 8},1460.29,7.80,0.48,0.42,0.14,{'29CPU4Mem8GB.sh': 8},1240.50,13.92,0.45,0.32,0.08
http-request_dot,2-0.8-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",7.87,0.00,0.00,{'27CPU2Mem8GB.sh': 2},2.19,0.00,0.00,3.60,0.21,{'01noThrottling.sh': 2},2.03,0.00,0.00,3.89,0.56,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},1.91,0.00,0.00,{'27CPU2Mem8GB.sh': 6},2.08,0.00,0.00,0.08,1.51,{'01noThrottling.sh': 6},1.94,0.00,0.00,0.02,0.85
httpcore_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",59.64,0.01,0.05,{'27CPU2Mem8GB.sh': 4},5.53,0.03,0.04,10.78,0.66,{'26CPU2Mem4GB.sh': 4},5.35,0.03,0.02,11.15,0.60,6-0.8-fast,{'01noThrottling.sh': 6},4.16,0.06,0.05,{'27CPU2Mem8GB.sh': 6},4.50,0.03,0.04,0.08,1.96,{'26CPU2Mem4GB.sh': 6},4.29,0.03,0.02,0.03,2.32
hutool_hutool-cron,1-0.8-cheap,{'26CPU2Mem4GB.sh': 1},1.87,0.00,0.00,{'27CPU2Mem8GB.sh': 1},1.87,0.00,0.00,1.00,0.15,{'27CPU2Mem8GB.sh': 1},1.87,0.00,0.00,1.00,0.15,4-0.8-fast,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",1.61,0.00,0.00,{'27CPU2Mem8GB.sh': 4},1.87,0.00,0.00,0.14,1.87,{'27CPU2Mem8GB.sh': 4},1.87,0.00,0.00,0.14,1.87
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.8-cheap,{'19CPU010Mem1GB.sh': 1},1209.26,0.02,0.07,{'27CPU2Mem8GB.sh': 1},1091.76,0.12,0.00,1.11,0.87,{'27CPU2Mem8GB.sh': 1},1091.76,0.12,0.00,1.11,0.87,6-0.8-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",1061.11,0.32,0.02,{'27CPU2Mem8GB.sh': 6},1062.48,0.18,0.00,0.00,1.84,{'27CPU2Mem8GB.sh': 6},1062.48,0.18,0.00,0.00,1.84
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",1984.07,0.04,0.04,{'27CPU2Mem8GB.sh': 2},1784.99,0.41,0.00,1.11,0.90,{'28CPU2Mem16GB.sh': 2},1785.04,0.54,0.00,1.11,0.93,6-0.8-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 2}",1748.06,0.68,0.00,{'27CPU2Mem8GB.sh': 6},1748.26,0.48,0.00,0.00,1.41,{'28CPU2Mem16GB.sh': 6},1748.31,0.63,0.00,0.00,1.08
