table_category,satis_project_num,satis_cheapest_github_caliber_num,avg_runtime_cheapest_vs_github_caliber_rate,avg_price_cheapest_vs_github_caliber_rate,number_cases_cheapest_better_vs_github_caliber,satis_cheapest_smart_baseline_num,avg_runtime_cheapest_vs_smart_baseline_rate,avg_price_cheapest_vs_smart_baseline_rate,number_cases_cheapest_better_vs_smart_baseline,satis_fastest_github_caliber_num,avg_runtime_fastest_vs_github_caliber_rate,avg_price_fastest_vs_github_caliber_rate,number_cases_fastest_better_vs_github_caliber,satis_fastest_smart_baseline_num,avg_runtime_fastest_vs_smart_baseline_rate,avg_price_fastest_vs_smart_baseline_rate,number_cases_fastest_better_vs_smart_baseline
failure_rate_0,57,36.0,3.2990117676540662,0.2941875023276983,36.0,54.0,2.353127504238253,0.3620213411497388,54.0,36.0,0.5901882633504162,1.000609435071174,36.0,54.0,0.6544384658355071,1.1569382454275114,46.0
failure_rate_0.2,87,87.0,4.81379585877714,0.4575427685231596,87.0,87.0,3.028906994931053,0.4184539053904383,84.0,87.0,0.9186451178615395,1.538908827389094,87.0,87.0,0.7076670648697361,1.5311721578274475,78.0
failure_rate_0.4,90,87.0,4.656184236654307,0.44224390365062494,87.0,87.0,2.9127242895570964,0.4044713299741025,84.0,87.0,0.887682910734256,1.4906616921125204,87.0,87.0,0.6834079314158561,1.482022052799477,78.0
failure_rate_0.6,93,93.0,4.818315287270331,0.43644603327268156,93.0,93.0,3.1449768726422573,0.4080568267022285,90.0,93.0,0.910567918098463,1.4902872785930792,93.0,93.0,0.7070022123579803,1.5313040614295728,84.0
failure_rate_0.8,93,93.0,4.822228522133288,0.4364389114784387,93.0,93.0,3.126222506835325,0.40805159758758625,90.0,93.0,0.9101492270733315,1.4890955291694712,93.0,93.0,0.7072257924168922,1.5298264079259045,84.0
failure_rate_1,96,96.0,5.1787153930347145,0.4456122130938147,96.0,96.0,3.4359079526428915,0.4110353526482818,93.0,96.0,0.9097364988217042,1.510888944923866,96.0,96.0,0.6874268712292305,1.531702307154992,87.0
