project,category,confs,runtime,price,max_failure_rate,fitness,github_baseline_conf,github_baseline_runtime,github_baseline_price,github_baseline_max_failure_rate,github_baseline_score,github_baseline_runtime_rate,github_baseline_price_rate,github_baseline_score_rate,smart_baseline_conf,smart_baseline_runtime,smart_baseline_price,smart_baseline_max_failure_rate,smart_baseline_score,smart_baseline_runtime_rate,smart_baseline_price_rate,smart_baseline_score_rate
commons-exec_dot,2-0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",91.0689928694158,0.3195142009922183,0.0,0.3702215254318938,27CPU2Mem8GB.sh,42.12738836393988,0.8072391510471901,0.0016666666666667,0.7317803556596896,2.1617526366141617,0.3958110809884888,0.5059189175666575,26CPU2Mem4GB.sh,42.12495666666666,0.6839898629111119,0.0,0.6270158270360319,2.1618774255375883,0.46713294789537085,0.5904500484173884
delight-nashorn-sandbox_dot,2-0,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",15.638624362416111,0.1669138517821475,0.0,0.1588145608059155,27CPU2Mem8GB.sh,10.182880000000004,0.1974002929200669,0.0033333333333332,0.1788190611308902,1.5357761617947088,0.8455603044608234,0.8881299331376536,29CPU4Mem8GB.sh,9.220793333333328,0.3034825464222219,0.0,0.26794696559339554,1.696017229437538,0.5499948967408742,0.5927089357186959
elastic-job-lite_dot,1-0,{'22CPU05Mem2GB.sh': 1},84.17931034482753,0.2043452758620688,0.0,0.2648659033477009,27CPU2Mem8GB.sh,46.9165965517243,0.4555601525172429,0.0,0.43804027357846054,1.7942330972798097,0.4485582743199524,0.604661076443828,22CPU05Mem2GB.sh,84.17931034482753,0.2043452758620688,0.0,0.26486590334770094,1.0,1.0,0.9999999999999998
elastic-job-lite_elastic-job-lite-core,1-0,{'22CPU05Mem2GB.sh': 1},42.11553333333326,0.1022354571666664,0.0,0.1325143759863191,27CPU2Mem8GB.sh,23.09954666666668,0.2242965981333334,0.0,0.21567062585730565,1.8232190415280836,0.4558047603820206,0.6144294127193506,22CPU05Mem2GB.sh,42.11553333333326,0.1022354571666664,0.0,0.13251437598631913,1.0,1.0,0.9999999999999998
fastjson_dot,1-0,{'26CPU2Mem4GB.sh': 1},35.9527833333336,0.2958314855277799,0.0,0.2903962860565472,27CPU2Mem8GB.sh,35.98251333333387,0.3493902044666718,0.0,0.3359533969433869,0.9991737653308189,0.8467080122619727,0.8643945520380711,26CPU2Mem4GB.sh,35.9527833333336,0.2958314855277799,0.0,0.2903962860565472,1.0,1.0,1.0
fluent-logger-java_dot,2-0,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1}",27.17655088071345,0.1086074061201969,0.0,0.1217505097383889,27CPU2Mem8GB.sh,17.910466666666665,0.3455086319666666,0.0,0.3130806971999305,1.5173558225197996,0.3143406446953109,0.38887900412665855,22CPU05Mem2GB.sh,24.072686666666694,0.1164840001750002,0.0,0.1250839001845349,1.1289371750243673,0.9323804639008803,0.9733507634377542
http-request_dot,1-0,{'26CPU2Mem4GB.sh': 1},2.380049999999999,0.0195838447499999,0.0,0.0192240382120312,27CPU2Mem8GB.sh,2.3805000000000005,0.023114655,0.0,0.022225714307812502,0.9998109640831752,0.8472479796908021,0.8649457986272149,26CPU2Mem4GB.sh,2.380049999999999,0.0195838447499999,0.0,0.01922403821203116,1.0,1.0,1.0000000000000022
hutool_hutool-cron,1-0,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0153863524944444,0.0,0.0151036648866909,27CPU2Mem8GB.sh,1.8711133333333336,0.0181685104666666,0.0,0.01746978802109022,0.9993640150071075,0.8468692313920522,0.8645591388090776,26CPU2Mem4GB.sh,1.8699233333333325,0.0153863524944444,0.0,0.015103664886690934,1.0,1.0,0.9999999999999978
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0,{'27CPU2Mem8GB.sh': 1},1091.7620689655168,10.601009689655168,0.0,10.193317301799564,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,10.193317301799567,1.0,0.9999999999999998,0.9999999999999997,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,10.193317301799567,1.0,0.9999999999999998,0.9999999999999997
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0,{'21CPU025Mem2GB.sh': 1},1910.806896551724,3.027036591954022,0.0,4.642526292219826,27CPU2Mem8GB.sh,1852.3000000000009,17.98583300000001,0.0034482758620689,17.29413594302084,1.0315860803064965,0.16830116191749475,0.26844511385336645,21CPU025Mem2GB.sh,1910.806896551724,3.0270365919540225,0.0,4.642526292219827,1.0,0.9999999999999999,0.9999999999999998
