project,category,confs,runtime,price,max_failure_rate,fitness,github_baseline_conf,github_baseline_runtime,github_baseline_price,github_baseline_max_failure_rate,github_baseline_score,github_baseline_runtime_rate,github_baseline_price_rate,github_baseline_score_rate,smart_baseline_conf,smart_baseline_runtime,smart_baseline_price,smart_baseline_max_failure_rate,smart_baseline_score,smart_baseline_runtime_rate,smart_baseline_price_rate,smart_baseline_score_rate
fastjson_dot,8-0,"{'29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 2}",9.661486666666656,1.3022267508732757,0.0,0.0697606973830091,27CPU2Mem8GB.sh,10.683516586309214,0.8210709654334211,0.0,0.07714025732035827,0.9043358138319104,1.5860099865860748,0.9043358138319093,29CPU4Mem8GB.sh,9.82593246376806,1.251955865998061,0.0,0.07094807711899517,0.9832641026479901,1.0401538794142224,0.9832641026479888
commons-exec_dot,4-0,{'01noThrottling.sh': 4},38.00900666666662,2.697335850799998,0.0,0.2744437686852312,27CPU2Mem8GB.sh,38.126145030606565,1.3531962980749028,0.0016666666666667,0.27528956542859867,0.9969276105977694,1.9933071459309397,0.9969276105977695,01noThrottling.sh,38.00900666666662,2.697335850799998,0.0,0.2744437686852312,1.0,1.0,1.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2}",1061.2560551724137,58.65046769208309,0.0,7.662791976538696,27CPU2Mem8GB.sh,1061.5292137931033,41.22387025789655,0.0,7.664764316462451,0.9997426744199402,1.4227307461712289,0.9997426744199402,27CPU2Mem8GB.sh,1061.5292137931033,41.22387025789655,0.0,7.664764316462451,0.9997426744199402,1.4227307461712289,0.9997426744199402
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0,{'01noThrottling.sh': 6},1747.6190081493855,202.74144146613293,0.0034482758620689,12.618670912099526,27CPU2Mem8GB.sh,1747.7194466292806,101.3787330164378,0.0034482758620689,12.61939612744612,0.9999425316917491,1.9998419336455893,0.9999425316917491,26CPU2Mem4GB.sh,1747.655068965517,85.90566683859194,0.0,12.618931288971982,0.9999793661708355,2.3600473510910938,0.9999793661708355
rxjava2-extras_dot,6-0,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",11.927884116331144,0.8643481477897026,0.0,0.0861252044294404,27CPU2Mem8GB.sh,13.360118269548828,0.6481899626199302,0.0066666666666667,0.09646664118667822,0.89279779382776,1.3334796859489753,0.8927977938277595,23CPU05Mem4GB.sh,23.684377748049044,0.4457838306586771,0.0033333333333332,0.17101288505494266,0.5036182180177261,1.9389401058189284,0.5036182180177258
hutool_hutool-cron,2-0,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",1.6124644370122616,0.0562778353001114,0.0,0.0116427882697773,27CPU2Mem8GB.sh,1.866666666666667,0.0352926133333333,0.0,0.013478253703703705,0.8638202341137114,1.5946066325147392,0.863820234113709,29CPU4Mem8GB.sh,1.6128300000000004,0.0515055816333333,0.0,0.01164542781479167,0.9997733406572678,1.0926550776720014,0.999773340657265
elastic-job-lite_dot,4-0,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",27.07895172413797,1.7868777543678185,0.0,0.1955233828758623,27CPU2Mem8GB.sh,34.632137931034485,1.1724410148620696,0.0,0.25006111143007664,0.7819023988083632,1.5240662273982573,0.781902398808363,01noThrottling.sh,27.07895172413797,1.7563729255172456,0.0,0.19552338287586235,1.0,1.0173680819189292,0.9999999999999997
elastic-job-lite_elastic-job-lite-core,2-0,{'01noThrottling.sh': 2},17.149936666666676,0.5768009290666674,0.0,0.1238309986048843,27CPU2Mem8GB.sh,17.46553,0.2965952514000002,0.0,0.12610973807659723,0.9819305034926896,1.94474094357219,0.9819305034926894,01noThrottling.sh,17.149936666666676,0.5768009290666675,0.0,0.12383099860488432,1.0,0.9999999999999998,0.9999999999999998
luwak_luwak,6-0,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2, '26CPU2Mem4GB.sh': 1}",3.477128434004486,0.2595334697467573,0.0,0.0251065817110041,27CPU2Mem8GB.sh,3.7118633333333513,0.1833812151000009,0.0,0.02680148342150476,0.9367608992440821,1.4152674776706504,0.9367608992440799,01noThrottling.sh,3.5027600000000163,0.3362250628000018,0.0,0.025291654255277896,0.9926824658282241,0.7719039966426795,0.9926824658282217
fluent-logger-java_dot,6-0,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",8.125366666666668,0.3904016193722223,0.0,0.0586691535905092,27CPU2Mem8GB.sh,8.126056666666663,0.3455086319666666,0.0,0.058674135730717565,0.9999150879659964,1.1299330414699649,0.9999150879659953,29CPU4Mem8GB.sh,8.125366666666668,0.5818410838333337,0.0,0.05866915359050927,1.0,0.6709763717614198,0.9999999999999988
delight-nashorn-sandbox_dot,4-0,"{'29CPU4Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2}",5.988706666666658,0.2844791452408274,0.0,0.0432414148984258,27CPU2Mem8GB.sh,6.411747324414717,0.2397933888935341,0.0033333333333332,0.04629597702991338,0.9340210029585538,1.186351077289847,0.9340210029585524,29CPU4Mem8GB.sh,5.988706666666658,0.3650347584888884,0.0,0.04324141489842587,1.0,0.7793207047418388,0.9999999999999984
