project,category,confs,runtime,price,max_failure_rate,score,github_caliber_conf,github_caliber_runtime,github_caliber_price,github_caliber_max_failure_rate,github_caliber_score,github_caliber_runtime_rate,github_caliber_price_rate,github_caliber_score_rate,smart_baseline_conf,smart_baseline_runtime,smart_baseline_price,smart_baseline_max_failure_rate,smart_baseline_score,smart_baseline_runtime_rate,smart_baseline_price_rate,smart_baseline_score_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1-0,{'22CPU05Mem2GB.sh': 1},42.47574333333337,0.1031098669416667,0.0,0.1031098669416667,27CPU2Mem8GB.sh,27.276476666666632,0.264854588433333,0.0,0.264854588433333,1.5572298377246458,0.3893074594311613,0.3893074594311613,22CPU05Mem2GB.sh,42.47574333333337,0.1031098669416667,0.0,0.1031098669416667,1.0,1.0,1.0
commons-exec_dot,2-0,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",91.08785953608248,0.3195105897949961,0.0,0.3195105897949961,,,,,,,,,26CPU2Mem4GB.sh,42.13313666666665,0.6839898629111114,0.0,0.6839898629111114,2.16190549155449,0.4671276682890232,0.4671276682890232
delight-nashorn-sandbox_dot,2-0,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.369041029082766,0.1652508448877029,0.0,0.1652508448877029,,,,,,,,,29CPU4Mem8GB.sh,10.92355666666666,0.3034825464222219,0.0,0.3034825464222219,1.5900536390390656,0.5445151519777901,0.5445151519777901
elastic-job-lite_dot,1-0,{'22CPU05Mem2GB.sh': 1},84.17931034482761,0.204345275862069,0.0,0.204345275862069,27CPU2Mem8GB.sh,46.916596551724176,0.4555601525172418,0.0,0.4555601525172418,1.7942330972798162,0.44855827431995393,0.44855827431995393,19CPU010Mem1GB.sh,384.7137931034485,0.2722811870689656,0.0,0.2722811870689656,0.2188102216605268,0.7504935543354699,0.7504935543354699
elastic-job-lite_elastic-job-lite-core,1-0,{'22CPU05Mem2GB.sh': 1},42.11553333333336,0.1022354571666667,0.0,0.1022354571666667,27CPU2Mem8GB.sh,23.09954666666668,0.2242965981333334,0.0,0.2242965981333334,1.8232190415280878,0.4558047603820219,0.4558047603820219,20CPU010Mem2GB.sh,173.21999999999986,0.1867600299999998,0.0,0.1867600299999998,0.24313320247854403,0.547416153053021,0.547416153053021
esper_examples.rfidassetzone,1-0,{'21CPU025Mem2GB.sh': 1},34.04543333333333,0.0539336406388888,0.0,0.0539336406388888,,,,,,,,,19CPU010Mem1GB.sh,85.64666666666666,0.0606164283333333,0.0,0.0606164283333333,0.3975103136919125,0.8897528627438183,0.8897528627438183
fastjson_dot,2-0,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",78.52036035726391,0.2949136717458904,0.0,0.2949136717458904,27CPU2Mem8GB.sh,22.35535724884583,0.4167731703190601,0.0,0.4167731703190601,3.512373319881425,0.7076119403754317,0.7076119403754317,26CPU2Mem4GB.sh,22.316578606466017,0.3530737552109999,0.0,0.3530737552109999,3.518476633085386,0.8352749741187857,0.8352749741187857
fluent-logger-java_dot,2-0,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",63.39913654091488,0.0850418180534993,0.0,0.0850418180534993,27CPU2Mem8GB.sh,18.083906666666664,0.3455086319666667,0.0,0.3455086319666667,3.5058318818784855,0.24613514738961367,0.24613514738961367,22CPU05Mem2GB.sh,24.85254000000004,0.1164840001750002,0.0,0.1164840001750002,2.55101235289893,0.7300729535879296,0.7300729535879296
http-request_dot,1-0,{'26CPU2Mem4GB.sh': 1},2.380049999999999,0.0195838447499999,0.0,0.0195838447499999,27CPU2Mem8GB.sh,2.3805000000000005,0.023114655,0.0,0.023114655,0.9998109640831752,0.8472479796908021,0.8472479796908021,25CPU1Mem8GB.sh,4.502716666666659,0.028532214611111,0.0,0.028532214611111,0.5285808937567327,0.6863766103306109,0.6863766103306109
hutool_hutool-cron,1-0,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0153863524944444,0.0,0.0153863524944444,27CPU2Mem8GB.sh,1.8711133333333336,0.0181685104666666,0.0,0.0181685104666666,0.9993640150071075,0.8468692313920522,0.8468692313920522,26CPU2Mem4GB.sh,1.8699233333333325,0.0153863524944444,0.0,0.0153863524944444,1.0,1.0,1.0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0,{'27CPU2Mem8GB.sh': 1},1091.7620689655168,10.60100968965517,0.0,10.60100968965517,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,10.60100968965517,1.0,1.0,1.0,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,10.60100968965517,1.0,1.0,1.0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0,{'21CPU025Mem2GB.sh': 1},1910.806896551724,3.0270365919540225,0.0,3.0270365919540225,,,,,,,,,21CPU025Mem2GB.sh,1910.806896551724,3.0270365919540225,0.0,3.0270365919540225,1.0,1.0,1.0
luwak_luwak,1-0,{'24CPU1Mem4GB.sh': 1},16.522196666666677,0.0802152648166667,0.0,0.0802152648166667,27CPU2Mem8GB.sh,10.777793333333353,0.1046523732666668,0.0,0.1046523732666668,1.5329851070318024,0.7664925535159014,0.7664925535159014,24CPU1Mem4GB.sh,16.522196666666677,0.0802152648166667,0.0,0.0802152648166667,1.0,1.0,1.0
noxy_noxy-discovery-zookeeper,1-0,{'26CPU2Mem4GB.sh': 1},19.223946666666688,0.1581810411555557,0.0,0.1581810411555557,27CPU2Mem8GB.sh,19.042949999999983,0.1849070444999998,0.0,0.1849070444999998,1.009504654828517,0.8554624924284908,0.8554624924284908,21CPU025Mem2GB.sh,133.24333333333337,0.2110796472222223,0.0,0.2110796472222223,0.1442769869662023,0.7493903047366024,0.7493903047366024
retrofit_retrofit-adapters.rxjava,1-0,{'22CPU05Mem2GB.sh': 1},11.532296666666676,0.0279946501583333,0.0,0.0279946501583333,27CPU2Mem8GB.sh,4.256179999999997,0.0413275077999999,0.0,0.0413275077999999,2.7095415764057638,0.6773853941014408,0.6773853941014408,19CPU010Mem1GB.sh,59.77261000000001,0.0423040647275,0.0,0.0423040647275,0.19293614026000663,0.6617484711849738,0.6617484711849738
retrofit_retrofit,1-0,{'26CPU2Mem4GB.sh': 1},5.837603333333329,0.0480337460944444,0.0,0.0480337460944444,,,,,,,,,19CPU010Mem1GB.sh,141.65999999999988,0.1002598649999999,0.0,0.1002598649999999,0.041208550990634855,0.4790924673042842,0.4790924673042842
rxjava2-extras_dot,2-0,"{'28CPU2Mem16GB.sh': 1, '22CPU05Mem2GB.sh': 1}",80.02340878483837,0.2419225577973055,0.0,0.2419225577973055,,,,,,,,,,,,,,,,
spring-boot_dot,2-0,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",134.26459752508367,0.8031225073416212,0.0,0.8031225073416212,27CPU2Mem8GB.sh,57.395279999999936,1.107635656766666,0.0,1.107635656766666,2.3392968467979216,0.7250782352800389,0.7250782352800389,19CPU010Mem1GB.sh,1092.1753241379315,1.5454844986163794,0.0,1.5454844986163794,0.12293319081445143,0.5196574330319261,0.5196574330319261
wro4j_wro4j-extensions,1-0,{'26CPU2Mem4GB.sh': 1},46.41026000000003,0.3818790893666668,0.0,0.3818790893666668,,,,,,,,,19CPU010Mem1GB.sh,1069.5379310344822,0.7569654706896548,0.0,0.7569654706896548,0.043392813525660504,0.5044868017807272,0.5044868017807272
