project,category,confs,runtime,price,score,max_failure_rate,github_caliber_conf,github_caliber_runtime,github_caliber_price,github_caliber_score,github_caliber_max_failure_rate,github_caliber_score_rate,smart_baseline_conf,smart_baseline_runtime,smart_baseline_price,smart_baseline_score,smart_baseline_max_failure_rate,smart_baseline_score_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0,{'29CPU4Mem8GB.sh': 2},16.578153333333333,0.0004972891989999,0.17271116818606658,0,27CPU2Mem8GB.sh,17.264513333333298,0.0003060158933999,0.17973454820270623,0.0,0.9609235948966326,22CPU05Mem2GB.sh,32.45061666666669,0.0001464317116416,0.3375742723603185,0.0,0.5116242034040998
commons-exec_dot,6-0,{'01noThrottling.sh': 6},38.014431666666624,0.0037846171142666,0.39762085960189286,0,,,,,,,26CPU2Mem4GB.sh,38.12899333333335,0.0016091895873111,0.3975070444190535,0.0,1.000286322429847
delight-nashorn-sandbox_dot,12-0,{'29CPU4Mem8GB.sh': 12},6.683126666666658,0.0006112436067555,0.06987126349738654,0,,,,,,,29CPU4Mem8GB.sh,6.683126666666658,0.0006112436067555,0.06987126349738654,0.0,1.0
elastic-job-lite_dot,12-0,{'01noThrottling.sh': 12},27.361100000000043,0.0044056948620689,0.2871988569172418,0,27CPU2Mem8GB.sh,34.918862068965524,0.0030841233144482,0.3650066395059104,0.0,0.7868318705270875,19CPU010Mem1GB.sh,267.19375862068966,0.0020944802382784,2.7800717777981396,0.0,0.10330627403609981
elastic-job-lite_elastic-job-lite-core,12-0,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",17.42361000000001,0.0019091862099,0.1823510557259401,0,27CPU2Mem8GB.sh,17.752103333333334,0.0010195817840666,0.1852336237371066,0.0,0.9844382032105704,20CPU010Mem2GB.sh,93.42630999999996,0.0011107255677455,0.9723000593406468,0.0,0.18754607075679827
esper_examples.rfidassetzone,2-0,"{'21CPU025Mem2GB.sh': 1, '01noThrottling.sh': 1}",22.86405999999999,9.142035636575078e-05,0.23784107621381936,0.0,,,,,,,19CPU010Mem1GB.sh,71.92085666666665,8.995272717166665e-05,0.7480308809696362,0.0,0.31795622649364086
fastjson_dot,12-0,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}",10.357826666666664,0.0018479597976971,0.10883017321195156,0,27CPU2Mem8GB.sh,11.407262684189558,0.0010906028288429,0.11928989361287715,0.0,0.9123167932828429,26CPU2Mem4GB.sh,11.411689342251949,0.0009254964520432,0.11923686703064618,0.0,0.9127225154614311
fluent-logger-java_dot,10-0,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",8.125366666666668,0.0004909567844333,0.08479838740399333,0,27CPU2Mem8GB.sh,8.126056666666663,0.0003455086319666,0.08471829451251325,0.0,1.0009454025478315,22CPU05Mem2GB.sh,11.282370000000045,0.0001749578791083,0.11744162272746544,0.0,0.7220471365656802
http-request_dot,6-0,{'29CPU4Mem8GB.sh': 6},1.9060766666666675,0.0001850633901444,0.01993423536741998,0,27CPU2Mem8GB.sh,2.07542,0.00011949126,0.021656062755999995,0.0,0.9204921315578029,25CPU1Mem8GB.sh,3.8948233333333295,0.0001452028156666,0.040593284356066586,0.0,0.49107224713737285
hutool_hutool-cron,2-0,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",1.6132444370122616,5.628047583344479e-05,0.016811510430427588,0.0,27CPU2Mem8GB.sh,1.8672266666666668,3.529261333333334e-05,0.019440332901333332,0.0,0.8647748223115334,26CPU2Mem4GB.sh,1.8661299999999992,2.9879354838888876e-05,0.019425679612903323,0.0,0.8654271441427821
