project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_rate,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_rate,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
fluent-logger-java_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '27CPU2Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",21.451536666666662,0.0182158771308333,0.0,{'27CPU2Mem8GB.sh': 10},8.126056666666663,0.1036525895899999,0.0,2.639845812872747,0.175739720569323,{'01noThrottling.sh': 10},8.133510000000005,0.2066261783,0.0,2.6374267280259875,0.0881586122373406,6-0-fast,{'29CPU4Mem8GB.sh': 6},8.125366666666668,0.17455232515,0.0,{'27CPU2Mem8GB.sh': 6},8.126056666666663,0.1036525895899999,0.0,0.9999150879659964,1.6840131620487782,{'01noThrottling.sh': 6},8.133510000000005,0.2066261783,0.0,0.9989987922393485,0.8447735257270642
handlebars.java_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbase_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http-request_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",0.2801366666666664,0.0008785431752499,0.0,{'27CPU2Mem8GB.sh': 10},0.0851266666666667,0.0011518001999999,0.0,3.290821520870855,0.7627565746645782,{'01noThrottling.sh': 10},0.0870133333333333,0.0020494897,0.0,3.2194682807232593,0.42866435252145935,12-0-fast,"{'28CPU2Mem16GB.sh': 6, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 2}",0.0712999999999999,0.0014296340066666,0.0,{'27CPU2Mem8GB.sh': 12},0.0845866666666667,0.0011518001999999,0.0,0.8429224464060515,1.2412170154743192,{'01noThrottling.sh': 12},0.0860266666666667,0.0020494897,0.0,0.8288127712337245,0.6975560827002936
httpcore_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hutool_hutool-cron,4-0-cheap,{'26CPU2Mem4GB.sh': 4},0.1042800000000001,0.000268005045,0.0,{'27CPU2Mem8GB.sh': 4},0.1031133333333334,0.00031332228,0.0,1.0113144113273422,0.8553654243802898,{'27CPU2Mem8GB.sh': 4},0.1031133333333334,0.00031332228,0.0,1.0113144113273422,0.8553654243802898,6-0-fast,"{'23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '01noThrottling.sh': 1}",0.0998866666666668,0.000594032125,0.0,{'27CPU2Mem8GB.sh': 6},0.1031133333333334,0.00031332228,0.0,0.9687075709575231,1.8959140888416872,{'27CPU2Mem8GB.sh': 6},0.1031133333333334,0.00031332228,0.0,0.9687075709575231,1.8959140888416872
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",45.60871724137935,0.0402372639153333,0.0,{'27CPU2Mem8GB.sh': 6},11.228665517241383,0.1140829550699999,0.0,4.06181101141076,0.3527018027420854,{'27CPU2Mem8GB.sh': 6},11.228665517241383,0.1140829550699999,0.0,4.06181101141076,0.3527018027420854,12-0-fast,"{'20CPU010Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 3}",10.013455172413794,0.1371224194783333,0.0,{'27CPU2Mem8GB.sh': 12},10.013655172413788,0.1140829550699999,0.0,0.9999800272731035,1.2019536081809652,{'27CPU2Mem8GB.sh': 12},10.013655172413788,0.1140829550699999,0.0,0.9999800272731035,1.2019536081809652
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",69.15234482758622,0.0371410053246666,0.0,,,,,,,{'28CPU2Mem16GB.sh': 8},30.2200793103448,0.4948907137799997,0.0,2.2882913084848955,0.07504890330429069,12-0-fast,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",27.710062068965524,0.2853796114625002,0.0,,,,,,,{'28CPU2Mem16GB.sh': 12},30.102186206896523,0.4948907137799997,0.0,0.9205332090669562,0.5766517809209969
logback_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luwak_luwak,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",4.659486666666665,0.0135071923260833,0.0,{'27CPU2Mem8GB.sh': 10},2.352326666666668,0.02667198147,0.0,1.9807991520452075,0.5064187803697998,{'01noThrottling.sh': 10},2.3322933333333338,0.05118653688,0.0,1.9978133110757927,0.26388173823419836,12-0-fast,"{'27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 7, '26CPU2Mem4GB.sh': 1}",2.226900000000002,0.0366126220833332,0.0,{'27CPU2Mem8GB.sh': 12},2.258683333333335,0.02667198147,0.0,0.9859283801034526,1.3726997420313218,{'01noThrottling.sh': 12},2.228873333333334,0.05118653688,0.0,0.9991146498529906,0.715278358627125
