project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
fluent-logger-java_dot,4-0-cheap,{'19CPU010Mem1GB.sh': 4},30.97,0.02,{'27CPU2Mem8GB.sh': 4},11.14,0.10,2.78,0.84,{'01noThrottling.sh': 4},11.00,0.21,2.81,0.92,6-0-fast,{'29CPU4Mem8GB.sh': 6},8.13,0.17,{'27CPU2Mem8GB.sh': 6},8.13,0.10,0.00,1.68,{'01noThrottling.sh': 6},8.13,0.21,0.00,0.84
handlebars.java_dot,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",1.18,0.01,{'27CPU2Mem8GB.sh': 12},1.00,0.01,1.18,0.35,{'22CPU05Mem2GB.sh': 12},1.70,0.01,0.69,0.17,6-0-fast,"{'19CPU010Mem1GB.sh': 2, '22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}",0.98,0.01,{'27CPU2Mem8GB.sh': 6},1.01,0.01,0.03,0.80,{'22CPU05Mem2GB.sh': 6},2.35,0.01,0.58,1.03
hbase_dot,12-0-cheap,{'19CPU010Mem1GB.sh': 12},597.71,0.55,{'27CPU2Mem8GB.sh': 12},405.56,7.73,1.47,0.93,{'29CPU4Mem8GB.sh': 12},378.46,13.83,1.58,0.96,12-0-fast,"{'28CPU2Mem16GB.sh': 2, '21CPU025Mem2GB.sh': 8, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",340.32,3.05,{'27CPU2Mem8GB.sh': 12},405.56,7.73,0.16,0.39,{'29CPU4Mem8GB.sh': 12},378.46,13.83,0.10,0.22
http-request_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",0.28,0.00,{'27CPU2Mem8GB.sh': 10},0.09,0.00,3.29,0.24,{'01noThrottling.sh': 10},0.09,0.00,3.22,0.57,12-0-fast,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 10, '01noThrottling.sh': 1}",0.07,0.00,{'27CPU2Mem8GB.sh': 12},0.08,0.00,0.15,1.31,{'01noThrottling.sh': 12},0.09,0.00,0.17,0.74
httpcore_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",6.67,0.01,{'27CPU2Mem8GB.sh': 10},1.64,0.03,4.07,0.66,{'26CPU2Mem4GB.sh': 10},1.63,0.03,4.10,0.60,12-0-fast,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 5, '26CPU2Mem4GB.sh': 5}",1.43,0.04,{'27CPU2Mem8GB.sh': 12},1.47,0.03,0.03,1.31,{'26CPU2Mem4GB.sh': 12},1.46,0.03,0.02,1.55
hutool_hutool-cron,4-0-cheap,{'26CPU2Mem4GB.sh': 4},0.10,0.00,{'27CPU2Mem8GB.sh': 4},0.10,0.00,1.01,0.14,{'27CPU2Mem8GB.sh': 4},0.10,0.00,1.01,0.14,4-0-fast,{'01noThrottling.sh': 4},0.10,0.00,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.03,1.95,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.03,1.95
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '29CPU4Mem8GB.sh': 1}",55.78,0.01,{'27CPU2Mem8GB.sh': 6},11.23,0.11,4.97,0.88,{'27CPU2Mem8GB.sh': 6},11.23,0.11,4.97,0.88,12-0-fast,{'28CPU2Mem16GB.sh': 12},10.01,0.15,{'27CPU2Mem8GB.sh': 12},10.01,0.11,0.00,1.30,{'27CPU2Mem8GB.sh': 12},10.01,0.11,0.00,1.30
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",131.69,0.04,{'27CPU2Mem8GB.sh': 6},30.59,0.38,4.30,0.90,{'28CPU2Mem16GB.sh': 6},30.59,0.49,4.30,0.92,12-0-fast,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 4, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",27.71,0.23,{'27CPU2Mem8GB.sh': 12},30.10,0.38,0.08,0.61,{'28CPU2Mem16GB.sh': 12},30.10,0.49,0.08,0.47
logback_dot,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",64.68,0.03,{'27CPU2Mem8GB.sh': 12},149.48,0.64,0.43,0.96,{'26CPU2Mem4GB.sh': 12},149.18,0.54,0.43,0.95,12-0-fast,"{'19CPU010Mem1GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 1}",50.35,0.05,{'27CPU2Mem8GB.sh': 12},149.48,0.64,0.66,0.08,{'26CPU2Mem4GB.sh': 12},149.18,0.54,0.66,0.09
luwak_luwak,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",4.66,0.01,{'27CPU2Mem8GB.sh': 10},2.35,0.03,1.98,0.49,{'01noThrottling.sh': 10},2.33,0.05,2.00,0.74,12-0-fast,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 4}",2.23,0.04,{'27CPU2Mem8GB.sh': 12},2.26,0.03,0.01,1.50,{'01noThrottling.sh': 12},2.23,0.05,0.00,0.78
