<<<<<<< HEAD
project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,score,period
retrofit_retrofit,1-0,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.023183584213256836
retrofit_retrofit,1-0.2,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.02443242073059082
retrofit_retrofit,1-0.4,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.02494502067565918
retrofit_retrofit,1-0.6,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.02384638786315918
retrofit_retrofit,1-0.8,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.025358200073242188
retrofit_retrofit,1-1,1,{'26CPU2Mem4GB.sh': 1},5.837603333333329,5.837603333333329,0.048033746094444406,0.0,0,0.04420955444717936,0.023967981338500977
retrofit_retrofit,2-0,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.08646059036254883
retrofit_retrofit,2-0.2,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.08429479598999023
retrofit_retrofit,2-0.4,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.08708333969116211
retrofit_retrofit,2-0.6,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.0885307788848877
retrofit_retrofit,2-0.8,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.08767318725585938
retrofit_retrofit,2-1,1,{'26CPU2Mem4GB.sh': 2},9.779049999999993,5.206643333333327,0.08046528308333327,0.0,0,0.07405906477887148,0.08274984359741211
retrofit_retrofit,4-0,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.18907952308654785
retrofit_retrofit,4-0.2,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.18426728248596191
retrofit_retrofit,4-0.4,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.1931743621826172
retrofit_retrofit,4-0.6,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.16260957717895508
retrofit_retrofit,4-0.8,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.16909527778625488
retrofit_retrofit,4-1,1,{'26CPU2Mem4GB.sh': 4},17.66194333333332,5.1060666666666625,0.145328357061111,0.0,0,0.13375808544225568,0.1719191074371338
retrofit_retrofit,6-0,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.26462221145629883
retrofit_retrofit,6-0.2,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.24245738983154297
retrofit_retrofit,6-0.4,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.25391554832458496
retrofit_retrofit,6-0.6,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.26227474212646484
retrofit_retrofit,6-0.8,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.23676681518554688
retrofit_retrofit,6-1,1,{'26CPU2Mem4GB.sh': 6},25.544836666666644,5.072856666666663,0.2101914310388887,0.0,0,0.19345710610563988,0.2414236068725586
retrofit_retrofit,8-0,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.271390438079834
retrofit_retrofit,8-0.2,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.2759711742401123
retrofit_retrofit,8-0.4,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.26030659675598145
retrofit_retrofit,8-0.6,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.27875256538391113
retrofit_retrofit,8-0.8,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.2616276741027832
retrofit_retrofit,8-1,1,{'26CPU2Mem4GB.sh': 8},33.427729999999976,5.057633333333328,0.2750545050166665,0.0,0,0.2531561267690241,0.26858067512512207
retrofit_retrofit,10-0,1,{'26CPU2Mem4GB.sh': 10},41.310623333333304,5.048856666666664,0.33991757899444425,0.0,0,0.3128551474324084,0.3081190586090088
